array_separation_lambda,array_separation_mm,target_z_m,method,control_points,radius_lambda,synthesis_wall_s,radial_window_mm,radial_samples,angular_samples,normalization,radial_profile_rmse_to_method_reference,selected,fixed_1p4,reference
30.0,257.25,0.0,IB,8,1.55,8.129999332595617e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.14158043099812057,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.6,6.629999552387744e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.17112693240033483,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.65,7.79999973019585e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.19991692603872924,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.7,7.100000220816582e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2335237310418746,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.75,6.720000237692147e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.25844510672218235,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.8,7.619999814778566e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3002649141601925,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.85,6.910000229254365e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3418205965903918,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.9,7.170000753831118e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3709950267318469,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,1.95,6.970000686123967e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3869456338732214,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,2.0,6.95999915478751e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3908901728170035,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,2.05,0.00010180000390391797,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.38700143195798764,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,2.1,7.470000127796084e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.38047178285392447,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,2.15,7.319998985622078e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3755910822229664,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
30.0,257.25,0.0,IB,8,2.2,7.780001033097506e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3709153663582099,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,0.8,0.00010819999442901462,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4668346017606493,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,0.85,7.759999425616115e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4667482277868972,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,0.9,6.939999002497643e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.46663098963728816,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
