panel,case_id,model,point_index,x_a,z_a,x_m,z_m,direction_displayed,arrow_x,arrow_z,force_x_n,force_y_n,force_z_n
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,10,1.666666666666667,-2.5,0.0010833333333333335,-0.001625,True,-0.9991124339644658,0.04212296639128099,-3.622873812150959e-05,-5.9368165578443156e-08,1.5274176022767268e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,11,2.083333333333334,-2.5,0.001354166666666667,-0.001625,True,-0.9994976690478489,0.03169242130094977,-4.143435623220089e-05,-2.1735844943689124e-08,1.3138150440065507e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,12,2.5,-2.5,0.001625,-0.001625,True,-0.9997117465203715,0.024008828984115424,-4.441048449913877e-05,4.95118657125962e-08,1.0665511645259081e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,13,-2.5,-2.0833333333333335,-0.001625,-0.0013541666666666667,True,0.9998707093203263,0.01607994537514026,4.465256601024174e-05,6.654700417014894e-09,7.18103666415639e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,14,-2.0833333333333335,-2.0833333333333335,-0.0013541666666666667,-0.0013541666666666667,True,0.999767044558759,0.021583711780983034,4.165711607437177e-05,7.009509494592616e-08,8.993246895560702e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,15,-1.6666666666666665,-2.0833333333333335,-0.0010833333333333333,-0.0013541666666666667,True,0.9995791297353424,0.0290097121243172,3.642391412867388e-05,9.870861787895239e-08,1.0570921619716557e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,16,-1.25,-2.0833333333333335,-0.0008125,-0.0013541666666666667,True,0.9991710594852657,0.04070864634315117,2.921174801538752e-05,9.927181093783808e-08,1.1901572886191014e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,17,-0.8333333333333333,-2.0833333333333335,-0.0005416666666666666,-0.0013541666666666667,True,0.9980038641186582,0.06315288753672971,2.040580525637839e-05,7.651692870526307e-08,1.2912630609807475e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,18,-0.4166666666666665,-2.0833333333333335,-0.0002708333333333332,-0.0013541666666666667,True,0.9917319140849559,0.1283269674908187,1.0487097966140022e-05,4.092529437038643e-08,1.3569972496202201e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,19,0.0,-2.0833333333333335,0.0,-0.0013541666666666667,True,1.2276314595766302e-06,0.9999999999992466,1.6938111997869528e-12,-5.667538304505123e-13,1.3797391607818657e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,20,0.41666666666666696,-2.0833333333333335,0.00027083333333333354,-0.0013541666666666667,True,-0.9917319090432617,0.12832700645385506,-1.0487094667188288e-05,-4.092642118153803e-08,1.3569972416605529e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,21,0.8333333333333335,-2.0833333333333335,0.0005416666666666668,-0.0013541666666666667,True,-0.9980038635750114,0.0631528961279703,-2.040580221757942e-05,-7.651803612604979e-08,1.2912630450531713e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,22,1.25,-2.0833333333333335,0.0008125,-0.0013541666666666667,True,-0.9991710593685544,0.04070864920776176,-2.921174539220662e-05,-9.92728858708025e-08,1.1901572656330836e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,23,1.666666666666667,-2.0833333333333335,0.0010833333333333335,-0.0013541666666666667,True,-0.9995791297103495,0.02900971298548415,-3.6423912050020746e-05,-9.870964792248407e-08,1.0570921330518443e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,24,2.083333333333334,-2.0833333333333335,0.001354166666666667,-0.0013541666666666667,True,-0.9997670445598486,0.021583711730512992,-4.1657114634418485e-05,-7.009606775544976e-08,8.993246563653853e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,25,2.5,-2.0833333333333335,0.001625,-0.0013541666666666667,True,-0.9998707093285709,0.01607994486248872,-4.4652565263917324e-05,-6.655604778741464e-09,7.181036315131437e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,26,-2.5,-1.6666666666666665,-0.001625,-0.0010833333333333333,True,0.9999662578955778,0.008214807990146362,4.482946776382449e-05,5.677685478903857e-08,3.682778964515126e-07
