case_id,target_id,method,point_index,x_m,y_m,z_m,radius_a,direction_defined,force_floor_n,angular_error_deg,magnitude_ratio_gorkov_elastic,elastic_force_norm_n,gorkov_force_norm_n,elastic_force_x_n,elastic_force_y_n,elastic_force_z_n,gorkov_force_x_n,gorkov_force_y_n,gorkov_force_z_n
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,25,0.00065,-0.008,0.05,1.0,True,1.1142852793561359e-08,5.407995284800534,1.0956932123014862,2.3500618562740503e-05,2.574946824408108e-05,-2.3463429374965174e-05,1.1174354856820502e-06,-7.056151449504061e-07,-2.5609211306516916e-05,-2.9309078871535377e-07,-2.6678659825179403e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,26,0.0003752776749732568,-0.007624722325026744,0.049624722325026745,1.0,True,1.1142852793561359e-08,6.092797891345959,1.088395215985415,1.947636940233542e-05,2.1197987282266588e-05,-1.566856681294663e-05,-1.1541941701459415e-05,-7.80103124315663e-07,-1.6079529773820634e-05,-1.356295674165362e-05,-2.6171724238162765e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,27,0.0003752776749732568,-0.007624722325026744,0.05037527767497326,1.0,True,1.1142852793561359e-08,5.7516699692150715,1.0961703891003733,1.971416559289429e-05,2.161008456875213e-05,-1.5247573347510365e-05,-1.2324796832665112e-05,-2.0637865853514543e-06,-1.5636761613076788e-05,-1.4390124586195955e-05,-3.92578090552515e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,28,-0.0007505553499465136,-0.008750555349946513,0.04924944465005349,2.0,True,1.1142852793561359e-08,6.163768887356641,1.103491430525093,3.0948262148526034e-05,3.415114207054258e-05,2.2636240592216713e-05,2.1009274949461546e-05,2.001476445801247e-06,2.3195810298785044e-05,2.506190600711828e-05,-3.9466010126374733e-07
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,29,-0.0007505553499465136,-0.008750555349946513,0.05075055534994652,2.0,True,1.1142852793561359e-08,6.068537923526338,1.1095948542029201,2.9029782771639536e-05,3.2211297582039814e-05,2.2239123572318175e-05,1.8655869683902002e-05,-3.289328822236802e-07,2.290544975235202e-05,2.2490143789622868e-05,-2.6648632016087714e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,30,-0.0013,-0.008,0.05,2.0,True,1.1142852793561359e-08,6.39357945798691,1.1024602984914103,3.581406897064981e-05,3.9483589167574544e-05,3.5666894677385136e-05,-3.1838598447030002e-06,6.19028913755322e-07,3.941590349563602e-05,-2.673172630280835e-07,-2.2954099105399723e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,31,-0.0007505553499465136,-0.007249444650053487,0.04924944465005349,2.0,True,1.1142852793561359e-08,6.4502309277154435,1.0967052139940394,3.071135288835962e-05,3.368130084147489e-05,1.9568658457550155e-05,-2.3668203871048242e-05,2.663229685972156e-07,2.347900958356881e-05,-2.40409046359804e-05,-2.280578793270939e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,32,-0.0007505553499465136,-0.007249444650053487,0.05075055534994652,2.0,True,1.1142852793561359e-08,6.092355393646161,1.1016099007156261,3.0614577422823696e-05,3.3725321595207665e-05,1.86607201888491e-05,-2.4189106282004212e-05,-1.979143776851625e-06,2.2509608718570623e-05,-2.471127223499967e-05,-4.479716125466462e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,33,0.0,-0.0093,0.05,2.0,True,1.1142852793561359e-08,6.061632255289051,1.103949621010054,3.567966969793221e-05,3.938855784079617e-05,9.905028707824928e-07,3.560824400790476e-05,2.0274842761482873e-06,-1.809830710716054e-06,3.933984263941956e-05,-7.48186261569157e-07
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,34,0.0,-0.008,0.0487,2.0,True,1.1142852793561359e-08,30.52640492578928,1.0074719083146497,2.8114606872286027e-06,2.832467663713817e-06,-2.0726637675835473e-06,1.5781329577675611e-06,1.057294883174089e-06,-2.1732996566279077e-06,1.7689454317692273e-06,-4.1288464237388276e-07
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,35,0.0,-0.008,0.051300000000000005,2.0,True,1.1142852793561359e-08,8.2055519297504,1.2725019680562994,4.663007692637828e-06,5.9336864659433e-06,-1.7649978074691316e-06,-2.1802079975642506e-06,-3.724931753547385e-06,-1.7483163683689228e-06,-2.2622997068068094e-06,-5.199425447950361e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,36,0.0,-0.0067,0.05,2.0,True,1.1142852793561359e-08,6.111931187960176,1.0949449263321192,3.6531069609666074e-05,3.9999509322589334e-05,-4.354779464868566e-06,-3.626315476028291e-05,-7.338592987748199e-07,-1.6869899096218904e-06,-3.978748403514981e-05,-3.7511231978494366e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,37,0.0007505553499465136,-0.008750555349946513,0.04924944465005349,2.0,True,1.1142852793561359e-08,5.75265912018979,1.0980351215765596,3.308392076896102e-05,3.6327306963775375e-05,-2.2306169162827558e-05,2.4339253628271663e-05,2.1404120035348474e-06,-2.63116326524791e-05,2.50452591128896e-05,-3.259054611061394e-07
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,38,0.0007505553499465136,-0.008750555349946513,0.05075055534994652,2.0,True,1.1142852793561359e-08,5.618501061778449,1.1034098394349052,3.1138620919023025e-05,3.4358660708483576e-05,-2.200396404000064e-05,2.2032295400770385e-05,-1.312959944908935e-07,-2.5805573949545088e-05,2.253869921957186e-05,-2.5684540690703086e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,39,0.0013,-0.008,0.05,2.0,True,1.1142852793561359e-08,5.8895827420343565,1.0945830111542483,3.7500459390643144e-05,4.104736575947778e-05,-3.7411526780363496e-05,2.4111579440947154e-06,9.211057702835749e-07,-4.0992799692392035e-05,-2.0471642825035703e-07,-2.105872825166961e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,40,0.0007505553499465136,-0.007249444650053487,0.04924944465005349,2.0,True,1.1142852793561359e-08,5.885485387978626,1.0903474897904657,3.280703462657233e-05,3.577106785255203e-05,-2.5972061089747306e-05,-2.0039457067537517e-05,4.1680232469394777e-07,-2.6628630628848326e-05,-2.378610077055343e-05,-2.1695013891028925e-06
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,41,0.0007505553499465136,-0.007249444650053487,0.05075055534994652,2.0,True,1.1142852793561359e-08,5.6866935001489765,1.0972914585631521,3.225480778365568e-05,3.5392925078601655e-05,-2.462036159651372e-05,-2.076699950488713e-05,-1.715270119108083e-06,-2.5169219927134822e-05,-2.4504166210305808e-05,-4.326124387571007e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,0,0.007812361162513271,-0.0001876388374866284,0.056479027829179976,0.5,True,1.1142852793561359e-08,11.290715275482096,1.12460270409008,7.933358725553513e-06,8.92187667527411e-06,5.0715093574854714e-06,6.0757524375230535e-06,-5.506412835830988e-07,6.0768075511009095e-06,6.152975244643444e-06,-2.1938981367620792e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,1,0.007812361162513271,-0.0001876388374866284,0.05685430550415323,0.5,True,1.1142852793561359e-08,10.614838778249993,1.1332837711172983,8.220992939824486e-06,9.316717881172978e-06,5.451976156249661e-06,6.0458868259452896e-06,-1.143649157823507e-06,6.4810806718476855e-06,6.076645761056897e-06,-2.8055661990050955e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,2,0.0076749999999999,0.0,0.0566666666666666,0.5,True,1.1142852793561359e-08,9.720459792443814,1.1234879586075752,9.813480087713811e-06,1.1025326710581678e-05,9.729365379517916e-06,8.491668685284988e-07,-9.606020888938295e-07,1.069813539626454e-05,-4.230943958801645e-09,-2.6660289228308767e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,3,0.007812361162513271,0.0001876388374866284,0.056479027829179976,0.5,True,1.1142852793561359e-08,11.123850816123051,1.135077198849318,7.873651126173523e-06,8.937201865013821e-06,5.940445994387559e-06,-5.132448140350421e-06,-6.02876049509272e-07,6.02841958710818e-06,-6.2154125710476335e-06,-2.213680426222361e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,4,0.007812361162513271,0.0001876388374866284,0.05685430550415323,0.5,True,1.1142852793561359e-08,10.459367445229717,1.146828181010357,8.150149196311379e-06,9.346820777768803e-06,6.294263018270746e-06,-5.03800266072499e-06,-1.1940327338445092e-06,6.426379031516207e-06,-6.170845535190265e-06,-2.8258408617333336e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,5,0.0079999999999999,-0.000325,0.0566666666666666,0.5,True,1.1142852793561359e-08,9.619673302876913,1.1160714825670497,9.66598200370686e-06,1.0787926865343536e-05,-6.030635836571316e-07,9.62896141503059e-06,-5.921355232576458e-07,1.719024704083711e-07,1.0549631163257716e-05,-2.2483544898191566e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,6,0.0079999999999999,0.0,0.0563416666666666,0.5,True,1.1142852793561359e-08,34.12936688257573,5.344274285747067,3.3293910293726937e-07,1.7793178865473446e-06,-2.2079677710510776e-07,-3.786479432609283e-08,-2.4629958756626795e-07,-2.474217679811688e-07,-5.1311326895302106e-08,-1.7612841218408304e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,7,0.0079999999999999,0.0,0.0569916666666666,0.5,True,1.1142852793561359e-08,10.89383005895119,2.0503557152892844,1.4106802545962846e-06,2.8923963224572348e-06,5.084264071354503e-07,5.013674802566278e-08,-1.314917364602273e-06,5.435257276778399e-07,-7.584532345055383e-08,-2.8398562915096763e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,8,0.0079999999999999,0.000325,0.0566666666666666,0.5,True,1.1142852793561359e-08,9.301476661627436,1.129727116828002,9.697093702716853e-06,1.0955069710381286e-05,9.079469335665335e-07,-9.630854960676419e-06,-6.75197283401217e-07,1.2537297089234505e-07,-1.0713359251426708e-05,-2.285118711873175e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,9,0.008187638837486529,-0.0001876388374866284,0.056479027829179976,0.5,True,1.1142852793561359e-08,11.033008732370783,1.1188337375133521,7.922857075641591e-06,8.864359793724189e-06,-6.059281838241174e-06,5.102336937888917e-06,-1.514120802943119e-07,-6.197726125624361e-06,6.0988337131253555e-06,-1.7231635917674157e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,10,0.008187638837486529,-0.0001876388374866284,0.05685430550415323,0.5,True,1.1142852793561359e-08,10.76996475976631,1.1321736192901999,7.618231323652762e-06,8.625160530289917e-06,-5.596950247474301e-06,5.110180056195183e-06,-7.730822862066369e-07,-5.700239246233876e-06,6.034197224756949e-06,-2.34288936181409e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,11,0.0083249999999999,0.0,0.0566666666666666,0.5,True,1.1142852793561359e-08,9.415253886272414,1.1178265531440281,9.4355762541933e-06,1.0547337681152537e-05,-9.39845462374524e-06,-7.834063189528287e-07,-2.9227465426032044e-07,-1.0381460391119004e-05,-8.403396647998679e-08,-1.8613303308024218e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,12,0.008187638837486529,0.0001876388374866284,0.056479027829179976,0.5,True,1.1142852793561359e-08,10.672094988484655,1.1232365825754835,7.996028198771224e-06,8.981431388164988e-06,-5.17334866532149e-06,-6.093556040594995e-06,-2.0372855148254066e-07,-6.197397107402039e-06,-6.26179432014204e-06,-1.7459412263065962e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,13,0.008187638837486529,0.0001876388374866284,0.05685430550415323,0.5,True,1.1142852793561359e-08,10.383922258663073,1.1450472361310107,7.654550441716409e-06,8.76482182711278e-06,-4.71234663243867e-06,-5.976196999846285e-06,-8.191465678088693e-07,-5.70330210416765e-06,-6.22119847783355e-06,-2.3645583665942785e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,14,0.007624722325026643,-0.0003752776749732568,0.05629138899169334,1.0,True,1.1142852793561359e-08,7.980167496956065,1.102524769966778,1.5380653725403778e-05,1.6957551710539467e-05,9.770736242791182e-06,1.1877748853576005e-05,-1.2768894219077593e-07,1.1732017065942235e-05,1.2073138626322206e-05,-2.039033910867328e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,15,0.007624722325026643,-0.0003752776749732568,0.05704194434163986,1.0,True,1.1142852793561359e-08,7.6092142867534225,1.109579015296767,1.5694798595397655e-05,1.7414619170762414e-05,1.041536109246966e-05,1.167233938316e-05,-1.2662738992403769e-06,1.2409435130961444e-05,1.1788343450152148e-05,-3.2108938466415715e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,16,0.0073499999999999,0.0,0.0566666666666666,1.0,True,1.1142852793561359e-08,7.418030140312359,1.1053005196206642,1.8705707418711908e-05,2.0675428129774384e-05,1.8612818394115196e-05,1.6717415955723825e-06,-8.196105781246352e-07,2.046884386186925e-05,8.389137985029253e-08,-2.9142274352339366e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,17,0.007624722325026643,0.0003752776749732568,0.05629138899169334,1.0,True,1.1142852793561359e-08,7.914464262506876,1.1096475761774156,1.5196340618013341e-05,1.6862582533544913e-05,1.1438879484367082e-05,-1.0001125131424436e-05,-2.414548123325819e-07,1.1593260327000314e-05,-1.2068017943417026e-05,-2.075077735502754e-06
