task,method,public_method,metric,estimate,q25,q75,iqr,minimum,maximum,range,ci95_low,ci95_high,n_valid,interval_status,bootstrap_resamples_requested,bootstrap_resamples_performed,bootstrap_seed,bootstrap_stream_seed,sampling_unit,triple_dependence
Single,FE+g,GFE,field_concentration_fraction,0.16741794594054613,0.1674179457535921,0.16741794692210854,1.1685164502672762e-09,0.1674179448331768,0.16741794948967234,4.656495550259265e-09,0.1674179448331768,0.16741794948967234,5,estimated,10000,10000,20260906,7.57131057477289e+18,independent command seed,target outcomes reduced within command before any resampling
Single,FE+g,GFE,finite_ka_displacement_a,0.044854306949582805,0.0448536307270562,0.04485435678927985,7.260622236493486e-07,0.044853126248018266,0.044855408880115986,2.2826320977206715e-06,0.044853126248018266,0.044855408880115986,5,estimated,10000,10000,20260906,1.566212033361817e+18,independent command seed,target outcomes reduced within command before any resampling
Single,FE+g,GFE,finite_ka_stiffness_min_n_m,0.002253317889666399,0.0022533176800522718,0.0022533207549237885,3.0748715166943608e-09,0.0022533129473663737,0.0022533232857824582,1.0338416084592489e-08,0.0022533129473663737,0.0022533232857824582,5,estimated,10000,10000,20260906,8.569500247215435e+18,independent command seed,target outcomes reduced within command before any resampling
Single,FE+g,GFE,pressure_abs_at_exact_equilibrium_pa,0.002725720074652392,0.0023596641198287346,0.002771795268910068,0.00041213114908133326,0.0018479347895276688,0.0069185916553732366,0.005070656865845568,0.0018479347895276688,0.0069185916553732366,5,estimated,10000,10000,20260906,4.2173929387240474e+18,independent command seed,target outcomes reduced within command before any resampling
Single,FE+g,GFE,command_time_s,0.008724800005438738,0.008362499997019768,0.01314400001137983,0.004781500014360063,0.00743019999936223,0.015937600008328445,0.008507400008966215,0.00743019999936223,0.015937600008328445,5,estimated,10000,10000,20260906,2.2602070743658944e+18,independent command-seed timing observation,target outcomes reduced within command before any resampling
Single,AD,AD,field_concentration_fraction,0.16569375931356742,0.16569318399381366,0.16569409983384198,9.158400283149071e-07,0.16569233384431464,0.16569410816412286,1.7743198082176281e-06,0.16569233384431464,0.16569410816412286,5,estimated,10000,10000,20260906,4.0590176366476436e+18,independent command seed,target outcomes reduced within command before any resampling
Single,AD,AD,finite_ka_displacement_a,0.39964338231583807,0.39830677720221713,0.3999136125491852,0.001606835346968094,0.395884331730609,0.40023233709915845,0.004348005368549457,0.395884331730609,0.40023233709915845,5,estimated,10000,10000,20260906,3.3537300909997165e+17,independent command seed,target outcomes reduced within command before any resampling
Single,AD,AD,finite_ka_stiffness_min_n_m,0.0021204047700361297,0.002120350570496872,0.0021211401134143965,7.895429175244773e-07,0.002120066127498936,0.002121864126743894,1.7979992449576078e-06,0.002120066127498936,0.002121864126743894,5,estimated,10000,10000,20260906,1.0395161513639192e+18,independent command seed,target outcomes reduced within command before any resampling
Single,AD,AD,pressure_abs_at_exact_equilibrium_pa,1.8641676545579247,1.0048691084790815,5.054768317151669,4.049899208672587,0.1490158126407401,5.104661809468305,4.955645996827565,0.1490158126407401,5.104661809468305,5,estimated,10000,10000,20260906,1.3714595461007375e+18,independent command seed,target outcomes reduced within command before any resampling
Single,AD,AD,command_time_s,0.10666309999942314,0.09983800000918563,0.1233860999927856,0.023548099983599968,0.09275409999827389,0.646440700002131,0.5536866000038572,0.09275409999827389,0.646440700002131,5,estimated,10000,10000,20260906,6.788916837065575e+18,independent command-seed timing observation,target outcomes reduced within command before any resampling
