trajectory_index,target_id,component,objective,distance_to_matched_fe,similarity_to_matched_fe,primary_method,reference_method,similarity_to_matched_feg,distance_to_matched_feg
79,xi+0.000000_eta+0.000000,B2,-53.10283779612809,0.3086359547430134,0.951180239197529,GFE,GFE,0.951180239197529,0.3086359547430134
80,xi+0.000000_eta+0.000000,B1,-54.53149651429907,0.28795391075225,0.9576442686522408,GFE,GFE,0.9576442686522408,0.28795391075225
81,xi+0.000000_eta+0.000000,B1,-52.66593904004643,0.31304134612902534,0.9497394988172956,GFE,GFE,0.9497394988172956,0.31304134612902534
82,xi+0.000000_eta+0.000000,B1,-54.40784554082196,0.2578092878534091,0.9661958244044103,GFE,GFE,0.9661958244044103,0.2578092878534091
83,xi+0.000000_eta+0.000000,B2,-53.52624187975028,0.2973026081148227,0.95478330484363,GFE,GFE,0.95478330484363,0.2973026081148227
84,xi+0.000000_eta+0.000000,B2,-53.95268108740623,0.27390701784361504,0.9617561778205626,GFE,GFE,0.9617561778205626,0.27390701784361504
85,xi+0.000000_eta+0.000000,B1,-54.31931528592289,0.24803806588591565,0.9687502866433507,GFE,GFE,0.9687502866433507,0.24803806588591565
86,xi+0.000000_eta+0.000000,B1,-54.00291904314799,0.273451546966931,0.9618857788019284,GFE,GFE,0.9618857788019284,0.273451546966931
87,xi+0.000000_eta+0.000000,B1,-53.98958035465114,0.2621845353057739,0.9650177560265383,GFE,GFE,0.9650177560265383,0.2621845353057739
88,xi+0.000000_eta+0.000000,B2,-53.849084089359884,0.26849661774458167,0.9632806269513158,GFE,GFE,0.9632806269513158,0.26849661774458167
89,xi+0.000000_eta+0.000000,B2,-53.83913824123621,0.2809954031818779,0.9597091139458112,GFE,GFE,0.9597091139458112,0.2809954031818779
90,xi+0.000000_eta+0.000000,B1,-52.39802313601823,0.31233299734366354,0.9499726831705863,GFE,GFE,0.9499726831705863,0.31233299734366354
91,xi+0.000000_eta+0.000000,B1,-52.81490548491316,0.3115660195289026,0.95022450793216,GFE,GFE,0.95022450793216,0.3115660195289026
92,xi+0.000000_eta+0.000000,B2,-53.73116502349068,0.2909970600218257,0.9567239471543785,GFE,GFE,0.9567239471543785,0.2909970600218257
93,xi+0.000000_eta+0.000000,B1,-53.459436772718746,0.28891629731923363,0.9573543613225691,GFE,GFE,0.9573543613225691,0.28891629731923363
94,xi+0.000000_eta+0.000000,B1,-54.18818497928107,0.27766950020730496,0.960676661866325,GFE,GFE,0.960676661866325,0.27766950020730496
95,xi+0.000000_eta+0.000000,B1,-53.70134606205633,0.30158231230927635,0.953440144373096,GFE,GFE,0.953440144373096,0.30158231230927635
96,xi+0.000000_eta+0.000000,B2,-53.62186588774573,0.2869316000957053,0.9579510722717096,GFE,GFE,0.9579510722717096,0.2869316000957053
97,xi+0.000000_eta+0.000000,B2,-54.01753075279721,0.2603039898436627,0.9655267126659264,GFE,GFE,0.9655267126659264,0.2603039898436627
98,xi+0.000000_eta+0.000000,B1,-52.30945164383155,0.3468603529931972,0.9379167849662542,GFE,GFE,0.9379167849662542,0.3468603529931972
99,xi+0.000000_eta+0.000000,B2,-54.11461025305824,0.24190730049942072,0.9702993651266,GFE,GFE,0.9702993651266,0.24190730049942072
