objective,phase_gradient_rms,nit,nfev,runtime_s,scipy_success,status,message,posthoc_winding,posthoc_winding_loop_min_over_median,posthoc_winding_circulation_residual,posthoc_winding_robust,posthoc_legacy_winding_label,array,array_label,ix,iy,xi,eta,target_id,target_x_m,target_y_m,target_z_m,method,method_short,replicate,seed,trial_id,cache_status,state_index,component,local_component,component_size,source_endpoint_position,force_target_z_n,alpha_per_m,iteration_cap,iterations,evaluations,wall_time_s,gradient_norm,phase_content_id,source_alpha_per_m,source_role,correct_sign_gorkov,primary_method,reference_method
-0.044122783991535706,3.139934849334241e-09,174,253,3.084861336999893,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8409785405262962,0.0,True,w+,square,Square,6,2,1.0,-0.3333333333333333,xi+1.000000_eta-0.333333,0.012,-0.004,0.06,GFE,GFE,4,842645660,square|xi+1.000000_eta-0.333333|GFE|r04,cached,404,B1,1,5,204,1.1142852793561358e-06,10.0,10000,10,12,0.0016751999937696382,9.518530761892946e-09,000000000000080f6cd3fc7d5e5f05db,9.0,branch-identified initialization only,True,GFE,GFE
-0.07375044883445038,1.9184351244499083e-09,109,253,2.9513294440002937,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8160620388098836,2.220446049250313e-16,True,w+,square,Square,0,3,-1.0,0.0,xi-1.000000_eta+0.000000,-0.012,0.0,0.04,GFE,GFE,7,683455590,square|xi-1.000000_eta+0.000000|GFE|r07,cached,427,B1,1,5,217,1.1142852793561358e-06,10.0,10000,7,9,0.0013801000022795051,1.7472070736400364e-08,000000000000080f1b0b93b657880f79,9.0,branch-identified initialization only,True,GFE,GFE
-0.06869257613545736,6.481645045073474e-10,119,192,1.8557942180013924,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7690844183169779,2.220446049250313e-16,True,w+,square,Square,1,3,-0.6666666666666667,0.0,xi-0.666667_eta+0.000000,-0.008,0.0,0.0433333333333333,GFE,GFE,7,958212502,square|xi-0.666667_eta+0.000000|GFE|r07,cached,447,B1,0,4,227,1.1142852793561358e-06,10.0,10000,8,10,0.0014811000000918284,1.2108483225706416e-08,000000000000080fc072726546be19ab,9.0,branch-identified initialization only,True,GFE,GFE
-0.06357633987242195,4.225090382339037e-09,122,196,2.1598021120007616,False,2,Desired error not necessarily achieved due to precision loss.,1,0.818342058140839,4.440892098500626e-16,True,w+,square,Square,2,3,-0.3333333333333333,0.0,xi-0.333333_eta+0.000000,-0.004,0.0,0.0466666666666666,GFE,GFE,0,340271542,square|xi-0.333333_eta+0.000000|GFE|r00,cached,460,B1,0,4,230,1.1142852793561358e-06,10.0,10000,6,8,0.0016200999962165952,2.2530441891754205e-08,000000000000080fa587e673d78609ce,9.0,branch-identified initialization only,True,GFE,GFE
-0.059043675478524904,3.0644083667106987e-09,151,201,1.942831953001587,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8759675759496638,0.0,True,w+,square,Square,3,3,0.0,0.0,xi+0.000000_eta+0.000000,0.0,0.0,0.05,GFE,GFE,3,713854823,square|xi+0.000000_eta+0.000000|GFE|r03,cached,483,B1,1,5,243,1.1142852793561358e-06,10.0,10000,4,7,0.001114599988795817,3.1550965151712145e-08,000000000000080ff45a60f4e7501430,9.0,branch-identified initialization only,True,GFE,GFE
-0.054534690365095444,2.8946566042631646e-09,160,232,2.592393274000642,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8499545511470105,0.0,True,w+,square,Square,4,3,0.3333333333333332,0.0,xi+0.333333_eta+0.000000,0.0039999999999999,0.0,0.0533333333333333,GFE,GFE,8,44989819,square|xi+0.333333_eta+0.000000|GFE|r08,cached,508,B1,1,3,258,1.1142852793561358e-06,10.0,10000,8,10,0.0014269000093918294,8.88264388348683e-09,000000000000080fc32c9963b39419c5,9.0,branch-identified initialization only,True,GFE,GFE
-0.04969533762826812,3.928471419387886e-09,165,209,1.2485852050012909,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8528460262184318,2.220446049250313e-16,True,w+,square,Square,5,3,0.6666666666666665,0.0,xi+0.666667_eta+0.000000,0.0079999999999999,0.0,0.0566666666666666,GFE,GFE,8,383126130,square|xi+0.666667_eta+0.000000|GFE|r08,cached,528,B1,1,6,268,1.1142852793561358e-06,10.0,10000,8,10,0.002011399992625229,1.4801815426783263e-08,000000000000080fd3f505742724f9e7,9.0,branch-identified initialization only,True,GFE,GFE
-0.04451678549765849,2.9824360171482567e-09,151,198,1.0867920359996788,False,2,Desired error not necessarily achieved due to precision loss.,1,0.825856345621334,2.220446049250313e-16,True,w+,square,Square,6,3,1.0,0.0,xi+1.000000_eta+0.000000,0.012,0.0,0.06,GFE,GFE,9,834407080,square|xi+1.000000_eta+0.000000|GFE|r09,cached,549,B1,1,5,279,1.1142852793561358e-06,10.0,10000,5,7,0.00111339999421034,4.1890787908571005e-08,000000000000080f275daa37ad3e13ea,9.0,branch-identified initialization only,True,GFE,GFE
-0.07348182913267048,4.540121466886008e-09,99,160,2.641145075998793,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7979252920449644,2.220446049250313e-16,True,w+,square,Square,0,4,-1.0,0.3333333333333332,xi-1.000000_eta+0.333333,-0.012,0.0039999999999999,0.04,GFE,GFE,3,998003505,square|xi-1.000000_eta+0.333333|GFE|r03,cached,563,B1,1,3,283,1.1142852793561358e-06,10.0,10000,7,9,0.0012090999953215942,1.4813332362383949e-08,000000000000080f995a5bd06cfd165f,9.0,branch-identified initialization only,True,GFE,GFE
-0.06825479513937695,4.239557936559521e-09,127,189,2.792631687996618,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7826496422257484,3.3306690738754696e-16,True,w+,square,Square,1,4,-0.6666666666666667,0.3333333333333332,xi-0.666667_eta+0.333333,-0.008,0.0039999999999999,0.0433333333333333,GFE,GFE,6,682546510,square|xi-0.666667_eta+0.333333|GFE|r06,cached,586,B1,1,5,296,1.1142852793561358e-06,10.0,10000,8,10,0.001817500000470318,2.5401648949296216e-08,000000000000080f4f8ad67b2b2c07f8,9.0,branch-identified initialization only,True,GFE,GFE
