task,reference_method,internal_reference_method,comparison_method,comparison,metric,planned_pairs,valid_pairs,median_difference,q25_difference,q75_difference,minimum_difference,maximum_difference,ci_low,ci_high,interval_status,bootstrap_resamples,bootstrap_resamples_performed,bootstrap_seed,bootstrap_stream_seed,pairing_keys,pairing_detail,sampling_unit
Triple,GFE,FE+g,Conventional,GFE minus Conventional,command_time_s,5,5,-397.07261309998285,-442.92964010000287,-368.18374579999363,-468.9849203000049,-329.6733241000038,-468.9849203000049,-329.6733241000038,estimated,10000,10000,20260906,4.877399397647364e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,FE,GFE minus FE,field_concentration_fraction,5,5,-0.003797240035680577,-0.004854666976825156,-0.002927827233586505,-0.004863595311236868,0.0005567111389007118,-0.004863595311236868,0.0005567111389007118,estimated,10000,10000,20260906,3.3982399971050906e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,FE,GFE minus FE,finite_ka_displacement_a,5,5,-0.48778795918346596,-0.4878402415562027,-0.48692300141469763,-0.4891290210988424,-0.4109307972245253,-0.4891290210988424,-0.4109307972245253,estimated,10000,10000,20260906,2.5164638500813563e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,FE,GFE minus FE,finite_ka_stiffness_min_n_m,5,5,-5.005478676258098e-05,-5.038260453220627e-05,-4.980020837104331e-05,-6.810027448671653e-05,-4.9618237363118715e-05,-6.810027448671653e-05,-4.9618237363118715e-05,estimated,10000,10000,20260906,4.516461932034049e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,FE,GFE minus FE,pressure_abs_at_exact_equilibrium_pa,5,5,-9.960589651851409,-9.963510938103019,-9.926557361161143,-10.01452243210072,4.4377519604733315,-10.01452243210072,4.4377519604733315,estimated,10000,10000,20260906,6.850787345012877e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,FE,GFE minus FE,command_time_s,5,5,-0.2945593999902485,-4.321050599988666,0.4673317999986466,-4.346694700012449,1.236281900011818,-4.346694700012449,1.236281900011818,estimated,10000,10000,20260906,3.2841739210863657e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,IB,GFE minus IB,field_concentration_fraction,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,IB,GFE minus IB,finite_ka_displacement_a,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,IB,GFE minus IB,finite_ka_stiffness_min_n_m,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,IB,GFE minus IB,pressure_abs_at_exact_equilibrium_pa,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
