task,method,phase_content_id,seed,command_time_s,target_count,target_condition_content_id,root_found,all_restoring,field_concentration_fraction,finite_ka_displacement_a,finite_ka_stiffness_min_n_m,pressure_abs_at_exact_equilibrium_pa
Triple,FE+g,000000000000080f9ce305b1153f0604,260870.0,10.026134900006582,3,00000000000001121888854025b8522c,True,True,0.16843248754868084,0.4305588233212384,0.0012945667261510547,29.429177569281133
Triple,AD,000000000000080fea7548b5a500167e,260870.0,0.10079580001183785,3,00000000000001121888854025b8522c,True,True,0.19670618991415312,0.4488702071279408,0.001314099074649984,435.27958148562027
Triple,Conventional,000000000000080f99fdf2e7d5190e67,260871.0,475.6073371000093,3,00000000000001121888854025b8522c,True,True,0.17818291959011986,1.3173553973101961,0.001169787558785132,458.0905017273386
Triple,FE,000000000000080f42ff90d2b9380bed,260871.0,6.1550850000057835,3,00000000000001121888854025b8522c,True,True,0.16786335408740652,0.8412291273577476,0.0013617904330438784,24.96781504884419
Triple,FE+g,000000000000080f29f0359371651085,260871.0,6.62241680000443,3,00000000000001121888854025b8522c,True,True,0.16299975877616965,0.3534411681742816,0.0013121721956807597,15.007225396992782
Triple,AD,000000000000080f8e71f8aeb6cc21ef,260871.0,0.115258999998332,3,00000000000001121888854025b8522c,True,True,0.1964659518834889,0.3935980780639826,0.0013190986562715548,405.12283745927215
Triple,Conventional,000000000000080f4cce7462f7490e14,260872.0,374.6157430000021,3,00000000000001121888854025b8522c,True,True,0.178043250951702,1.3110352713922684,0.0011627993606213034,456.72017590206246
Triple,FE,000000000000080fc4a41241ee0d16fd,260872.0,6.72655659999873,3,00000000000001121888854025b8522c,True,True,0.16681438312490202,0.8421699321704976,0.0013617897607540626,25.0077029213253
Triple,FE+g,000000000000080f3c93eb2da86c1416,260872.0,6.431997200008482,3,00000000000001121888854025b8522c,True,True,0.1638865558913155,0.35304091107165525,0.0013119895523830193,14.993180489224581
Triple,AD,000000000000080f4cc66b8940f92b06,260872.0,0.07783140000537969,3,00000000000001121888854025b8522c,True,True,0.18537114934971158,0.7434745173276248,0.0009682534695585625,951.3296477619525
Triple,Conventional,000000000000080fd0a8216d4de6099e,260873.0,338.6986606000137,3,00000000000001121888854025b8522c,True,True,0.17669714896442104,1.2166518714879049,0.0011534617886666146,445.43206152034594
Triple,FE,000000000000080fba5dea05ab4b081c,260873.0,7.789054599998053,3,00000000000001121888854025b8522c,True,True,0.16680676888557547,0.8405997028462493,0.001362536411391657,24.949456895180226
Triple,FE+g,000000000000080f6be3b674086f0551,260873.0,9.025336500009871,3,00000000000001121888854025b8522c,True,True,0.1630095288498949,0.35367670143155167,0.001312481624629076,15.022899534019084
Triple,AD,000000000000080f516e78d8ae6ff1fc,260873.0,0.08274910000909586,3,00000000000001121888854025b8522c,True,True,0.17141126995945716,1.1566369350622172,0.001136790704251016,978.7474988217436
Triple,IB,000000000000080f94150315ffcd25f7,,0.010999799997080117,3,00000000000001121888854025b8522c,True,True,0.1799940755219996,1.2762881357194156,0.0010547853473995114,713.1693054051038
Triple,GS,000000000000080f1cec1a23196a228d,,0.0026553000061539933,3,00000000000001121888854025b8522c,True,True,0.20181002823589517,1.6174862268960764,0.0012329690811929085,916.3411344874684
