task,method,optimizer,parameter,parameter_value,metric,n_valid_pairs,median_paired_difference,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Single,Conventional,Adam,optimizer,Adam,delta_solve_wall_s,3,21.71700150000106,20.31023359998653,22.53147600000375,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_worst_displacement_a,3,0.1188806776649805,0.07190478203475595,0.25862357987121104,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_minimum_stiffness_n_m,3,-0.00029809437855232365,-0.0003498316075337762,-0.0002833543423613038,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_solve_wall_s,3,0.23920640000142157,0.23441050000838004,0.25035919999936596,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_iterations,3,14.0,13.0,16.0,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_evaluations,3,73.0,62.0,77.0,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_terminal_gradient_l2,3,686.5900855851812,678.0729902887192,692.4571174195111,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_terminal_gradient_inf,3,155.71639826250652,136.20909496510055,156.9313477154009,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_relative_gradient_l2,3,0.99585929499767,0.987949913361625,1.029605354052955,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_objective_n_m,3,-0.08629823632624326,-0.08660100803614756,0.1628802485172608,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_surrogate_residual_n,3,-1.2832402979795034e-06,-1.4109466577569256e-06,-1.2709140662725288e-06,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_command_cosine_to_fixed_GFE,3,-0.9344269304834739,-0.9398441058833472,-0.9292127123141916,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_field_cosine_to_fixed_GFE,3,-0.6330887373346783,-0.6946081844324347,-0.6302218466871043,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_worst_displacement_a,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,delta_minimum_stiffness_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_solve_wall_s,3,0.0005175999831408262,0.00024819999816827476,0.005290200002491474,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_iterations,3,3.0,1.0,4.0,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_evaluations,3,5.0,0.0,6.0,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_terminal_gradient_l2,3,-2.059278628021869e-08,-3.2394931854422126e-08,6.658235486655505e-09,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_terminal_gradient_inf,3,-3.2760584600929525e-09,-4.624624565959673e-09,2.4550110599539942e-09,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_relative_gradient_l2,3,-4.447660784367499e-05,-4.5122225783442574e-05,1.1751751069592218e-05,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_objective_n_m,3,-1.114285351035138e-05,-1.1142853698034583e-05,-1.1142852435905293e-05,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_surrogate_residual_n,3,-1.1142812827662842e-06,-1.1142866859758118e-06,-1.1142514817594787e-06,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_command_cosine_to_fixed_GFE,3,-1.568689622644115e-11,-2.6926016971628997e-11,-1.1093681528961952e-11,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_field_cosine_to_fixed_GFE,3,-5.3684834355749445e-12,-1.1920353593097843e-11,-4.175104706405364e-12,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_worst_displacement_a,3,3.824873853280897e-06,-1.1534402240137576e-06,2.606299588954475e-05,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,delta_minimum_stiffness_n_m,3,-1.7994692428843773e-08,-1.1976948349669975e-07,4.723369171916875e-09,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_solve_wall_s,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_iterations,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_evaluations,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_terminal_gradient_l2,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_terminal_gradient_inf,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_relative_gradient_l2,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_objective_n_m,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_surrogate_residual_n,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_command_cosine_to_fixed_GFE,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_field_cosine_to_fixed_GFE,3,-1.1102230246251565e-16,-6.661338147750939e-16,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_worst_displacement_a,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,delta_minimum_stiffness_n_m,3,0.0,0.0,0.0,20260908,10000,paired seed; targets nested inside command
