task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,relative_gradient_l2,3,3,0,0.9958999331073541,0.9919588850626921,1.0127805556827774,0.98801783701803,1.0296611782582008,0.98801783701803,1.0296611782582008
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,objective_n_m,3,3,0,-0.14534191181044093,-0.14549329766549643,-0.020752669388864275,-0.14564468352055193,0.10383657303271238,-0.14564468352055193,0.10383657303271238
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,surrogate_residual_n,3,3,0,2.1792805113771463e-07,1.5407953999162182e-07,2.2409127820349622e-07,9.023102884552904e-08,2.302545052692778e-07,9.023102884552904e-08,2.302545052692778e-07
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,command_cosine_to_fixed_GFE,3,3,0,0.06557306951652608,0.06286448181658943,0.06818017860116729,0.06015589411665277,0.07078728768580848,0.06015589411665277,0.07078728768580848
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,field_cosine_to_fixed_GFE,3,3,0,0.36691126266532165,0.33615153911644347,0.3683447079891086,0.30539181556756534,0.3697781533128956,0.30539181556756534,0.3697781533128956
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,worst_displacement_a,3,0,3,,,,,,,
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,minimum_stiffness_n_m,3,0,3,,,,,,,
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,solve_wall_s,3,3,0,0.0037847999919904396,0.0036310999930719845,0.007113199993909802,0.0034773999941535294,0.010441599995829165,0.0034773999941535294,0.010441599995829165
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,iterations,3,3,0,37.0,37.0,37.5,37.0,38.0,37.0,38.0
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,evaluations,3,3,0,44.0,43.5,44.0,43.0,44.0,43.0,44.0
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,terminal_gradient_l2,3,3,0,1.0398147832830404e-08,9.337508365734016e-09,2.0045712453095513e-08,8.276868898637628e-09,2.969327707336062e-08,8.276868898637628e-09,2.969327707336062e-08
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,terminal_gradient_inf,3,3,0,4.990261600407118e-09,4.017372527306494e-09,6.662660330934039e-09,3.04448345420587e-09,8.335059061460961e-09,3.04448345420587e-09,8.335059061460961e-09
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,relative_gradient_l2,3,3,0,2.280143062159324e-05,1.707451401182858e-05,3.759564568765712e-05,1.1347597402063919e-05,5.2389860753721e-05,1.1347597402063919e-05,5.2389860753721e-05
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,objective_n_m,3,3,0,-0.059054818337895706,-0.05905481833790521,-0.059054818337440015,-0.059054818337914726,-0.05905481833698433,-0.059054818337914726,-0.05905481833698433
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,surrogate_residual_n,3,3,0,3.86891000626643e-07,3.868890334887885e-07,3.8690404520448547e-07,3.8688706635093395e-07,3.8691708978232794e-07,3.8688706635093395e-07,3.8691708978232794e-07
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,command_cosine_to_fixed_GFE,3,3,0,0.9999999999843131,0.9999999999786935,0.9999999999866097,0.999999999973074,0.9999999999889063,0.999999999973074,0.9999999999889063
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,field_cosine_to_fixed_GFE,3,3,0,0.9999999999946315,0.9999999999913556,0.9999999999952283,0.9999999999880796,0.9999999999958249,0.9999999999880796,0.9999999999958249
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,worst_displacement_a,3,3,0,0.04486104135428221,0.04485933183025318,0.04487120034455923,0.04485762230622415,0.04488135933483624,0.04485762230622415,0.04488135933483624
