task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,Conventional,BFGS,lambda_pressure_factor,0.1,worst_displacement_a,1,1,0,0.24765460874850004,0.24765460874850004,0.24765460874850004,0.24765460874850004,0.24765460874850004,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,minimum_stiffness_n_m,1,1,0,0.0020511694700418807,0.0020511694700418807,0.0020511694700418807,0.0020511694700418807,0.0020511694700418807,,
Single,Conventional,BFGS,lambda_pressure_factor,0.1,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,solve_wall_s,1,1,0,69.25470989999303,69.25470989999303,69.25470989999303,69.25470989999303,69.25470989999303,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,iterations,1,1,0,7985.0,7985.0,7985.0,7985.0,7985.0,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,evaluations,1,1,0,9669.0,9669.0,9669.0,9669.0,9669.0,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,terminal_gradient_l2,1,1,0,205.11921529852924,205.11921529852924,205.11921529852924,205.11921529852924,205.11921529852924,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,terminal_gradient_inf,1,1,0,47.08010267875278,47.08010267875278,47.08010267875278,47.08010267875278,47.08010267875278,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,relative_gradient_l2,1,1,0,0.9835772820422894,0.9835772820422894,0.9835772820422894,0.9835772820422894,0.9835772820422894,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,objective_n_m,1,1,0,-56.01921887906269,-56.01921887906269,-56.01921887906269,-56.01921887906269,-56.01921887906269,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,surrogate_residual_n,1,1,0,7.028572587199166e-07,7.028572587199166e-07,7.028572587199166e-07,7.028572587199166e-07,7.028572587199166e-07,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,command_cosine_to_fixed_GFE,1,1,0,0.9796139195707684,0.9796139195707684,0.9796139195707684,0.9796139195707684,0.9796139195707684,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,field_cosine_to_fixed_GFE,1,1,0,0.9987487789043499,0.9987487789043499,0.9987487789043499,0.9987487789043499,0.9987487789043499,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,worst_displacement_a,1,1,0,0.3297695598957,0.3297695598957,0.3297695598957,0.3297695598957,0.3297695598957,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,minimum_stiffness_n_m,1,1,0,0.0019924007340837175,0.0019924007340837175,0.0019924007340837175,0.0019924007340837175,0.0019924007340837175,,
Single,Conventional,BFGS,lambda_pressure_factor,0.3,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,solve_wall_s,1,1,0,45.74443199999223,45.74443199999223,45.74443199999223,45.74443199999223,45.74443199999223,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,iterations,1,1,0,5538.0,5538.0,5538.0,5538.0,5538.0,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,evaluations,1,1,0,6943.0,6943.0,6943.0,6943.0,6943.0,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,terminal_gradient_l2,1,1,0,676.9975486042606,676.9975486042606,676.9975486042606,676.9975486042606,676.9975486042606,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,terminal_gradient_inf,1,1,0,145.2556897731796,145.2556897731796,145.2556897731796,145.2556897731796,145.2556897731796,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,relative_gradient_l2,1,1,0,0.9742139708268679,0.9742139708268679,0.9742139708268679,0.9742139708268679,0.9742139708268679,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,objective_n_m,1,1,0,-55.00254061295359,-55.00254061295359,-55.00254061295359,-55.00254061295359,-55.00254061295359,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,surrogate_residual_n,1,1,0,3.121402318673723e-06,3.121402318673723e-06,3.121402318673723e-06,3.121402318673723e-06,3.121402318673723e-06,,
