task,method,optimizer,parameter,parameter_value,displacement_limit_a,n_total,n_mechanically_evaluated,n_resolved_restoring_localized
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.5,0.25,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.5,0.5,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.5,1.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,1.0,0.1,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,1.0,0.25,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,1.0,0.5,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,1.0,1.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,2.0,0.1,1,1,0
Single,GFE,L-BFGS-B,transverse_ratio_factor,2.0,0.25,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,2.0,0.5,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,2.0,1.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,3.0,0.1,1,1,0
Single,GFE,L-BFGS-B,transverse_ratio_factor,3.0,0.25,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,3.0,0.5,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,3.0,1.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,10.0,0.1,1,1,0
Single,GFE,L-BFGS-B,transverse_ratio_factor,10.0,0.25,1,1,0
Single,GFE,L-BFGS-B,transverse_ratio_factor,10.0,0.5,1,1,0
Single,GFE,L-BFGS-B,transverse_ratio_factor,10.0,1.0,1,1,1
Triple,Conventional,BFGS,lambda_pressure_factor,0.0,0.1,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.0,0.25,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.0,0.5,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.0,1.0,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.01,0.1,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.01,0.25,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.01,0.5,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.01,1.0,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.03,0.1,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.03,0.25,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.03,0.5,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.03,1.0,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.1,0.1,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.1,0.25,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.1,0.5,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.1,1.0,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.3,0.1,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.3,0.25,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.3,0.5,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.3,1.0,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,1.0,0.1,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,1.0,0.25,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,1.0,0.5,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,1.0,1.0,1,1,0
Triple,Conventional,BFGS,lambda_pressure_factor,3.0,0.1,1,1,0
