task,method,optimizer,parameter,parameter_value,metric,n_valid_pairs,median_paired_difference,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_command_cosine_to_fixed_GFE,1,-1.416953806288035e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_field_cosine_to_fixed_GFE,1,-8.309455824528911e-07,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_worst_displacement_a,1,0.025886574830701108,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_minimum_stiffness_n_m,1,-6.336294666767564e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.1,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_solve_wall_s,1,-0.0005304999940562993,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_iterations,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_evaluations,1,-1.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_terminal_gradient_l2,1,8.480734526912908e-09,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_terminal_gradient_inf,1,9.654986529868483e-10,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_relative_gradient_l2,1,1.8548350470504993e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_objective_n_m,1,-1.3941830093004703e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_surrogate_residual_n,1,-1.0883431883802352e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_command_cosine_to_fixed_GFE,1,-8.576491076217607e-07,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_field_cosine_to_fixed_GFE,1,-5.029247792665004e-07,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_worst_displacement_a,1,0.020368140702420025,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_minimum_stiffness_n_m,1,-1.4764579522210178e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,0.3,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_solve_wall_s,1,0.005290200002491474,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_iterations,1,1.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_evaluations,1,0.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_terminal_gradient_l2,1,-2.059278628021869e-08,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_terminal_gradient_inf,1,-3.2760584600929525e-09,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_relative_gradient_l2,1,-4.5122225783442574e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_objective_n_m,1,-1.114285351035138e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_surrogate_residual_n,1,-1.1142812827662842e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_command_cosine_to_fixed_GFE,1,-1.568689622644115e-11,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_field_cosine_to_fixed_GFE,1,-5.3684834355749445e-12,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_worst_displacement_a,1,3.824873853280897e-06,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_minimum_stiffness_n_m,1,-1.7994692428843773e-08,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,1.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,3.0,delta_solve_wall_s,1,-1.1099997209385037e-05,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,3.0,delta_iterations,1,5.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,3.0,delta_evaluations,1,3.0,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,3.0,delta_terminal_gradient_l2,1,-1.0809052878831998e-08,,,20260908,10000,paired seed; targets nested inside command
Single,FE,L-BFGS-B,alpha_factor,3.0,delta_terminal_gradient_inf,1,2.674430347312925e-09,,,20260908,10000,paired seed; targets nested inside command
