archive_key,geometry,gap_lambda,method,radius_lambda,iterations,synthesis_wall_s,independent_phase_coordinates,physical_sources,paired_panels_share_phase
opposed_D40p00_IB_R1p65,opposed,40.0,IB,1.65,1,7.930000720079988e-05,256,512,True
opposed_D40p00_IB_R1p70,opposed,40.0,IB,1.7,1,8.13000078778714e-05,256,512,True
opposed_D40p00_IB_R1p75,opposed,40.0,IB,1.75,1,9.169999975711109e-05,256,512,True
opposed_D40p00_IB_R1p80,opposed,40.0,IB,1.8,1,7.389999518636614e-05,256,512,True
opposed_D40p00_IB_R1p85,opposed,40.0,IB,1.85,1,9.080000745598228e-05,256,512,True
opposed_D40p00_IB_R1p90,opposed,40.0,IB,1.9,1,6.669999856967479e-05,256,512,True
opposed_D40p00_IB_R1p95,opposed,40.0,IB,1.95,1,7.159999222494662e-05,256,512,True
opposed_D40p00_IB_R2p00,opposed,40.0,IB,2.0,1,7.660000119358301e-05,256,512,True
opposed_D40p00_IB_R2p05,opposed,40.0,IB,2.05,1,7.280000136233866e-05,256,512,True
opposed_D40p00_IB_R2p10,opposed,40.0,IB,2.1,1,6.58999924780801e-05,256,512,True
opposed_D40p00_IB_R2p15,opposed,40.0,IB,2.15,1,7.609999738633633e-05,256,512,True
opposed_D40p00_IB_R2p20,opposed,40.0,IB,2.2,1,6.760000542271882e-05,256,512,True
opposed_D45p00_IB_R0p80,opposed,45.0,IB,0.8,1,0.0001039999915519,256,512,True
opposed_D45p00_IB_R0p85,opposed,45.0,IB,0.85,1,7.779999577905983e-05,256,512,True
opposed_D45p00_IB_R0p90,opposed,45.0,IB,0.9,1,7.140000525396317e-05,256,512,True
opposed_D45p00_IB_R0p95,opposed,45.0,IB,0.95,1,6.969999230932444e-05,256,512,True
opposed_D45p00_IB_R1p00,opposed,45.0,IB,1.0,1,7.169999298639596e-05,256,512,True
opposed_D45p00_IB_R1p05,opposed,45.0,IB,1.05,1,6.479999865405262e-05,256,512,True
opposed_D45p00_IB_R1p10,opposed,45.0,IB,1.1,1,6.210000719875097e-05,256,512,True
