method,radius_mm,normalized_pressure
GS R=1.40 lambda,7.65,0.4753284629248451
GS R=1.40 lambda,7.7250000000000005,0.4836839501282163
GS R=1.40 lambda,7.800000000000001,0.4941373856240669
GS R=1.40 lambda,7.875,0.5065683875122485
GS R=1.40 lambda,7.95,0.5208523769494976
GS R=1.40 lambda,8.025,0.5368243229764584
GS R=1.40 lambda,8.100000000000001,0.5543182756215402
GS R=1.40 lambda,8.175,0.573175148375075
GS R=1.40 lambda,8.25,0.5932282967119402
GS R=1.40 lambda,8.325000000000001,0.6143216851008899
GS R=1.40 lambda,8.4,0.636305636766229
GS R=1.40 lambda,8.475000000000001,0.6590417720554449
GS R=1.40 lambda,8.55,0.6823980640561376
GS R=1.40 lambda,8.625,0.706253616672627
GS R=1.40 lambda,8.700000000000001,0.7304879377760936
GS R=1.40 lambda,8.775000000000002,0.7550083753718502
GS R=1.40 lambda,8.85,0.7797293962417794
GS R=1.40 lambda,8.925,0.8045584673489917
GS R=1.40 lambda,9.000000000000002,0.8294034847719468
GS R=1.40 lambda,9.075000000000001,0.8541777088537934
GS R=1.40 lambda,9.15,0.8788488199768739
GS R=1.40 lambda,9.225000000000001,0.9033501911568947
GS R=1.40 lambda,9.3,0.9276358024771477
GS R=1.40 lambda,9.375000000000002,0.95167183148942
GS R=1.40 lambda,9.45,0.9754047938141983
GS R=1.40 lambda,9.525,0.998777544247906
GS R=1.40 lambda,9.600000000000001,1.0217521482499927
GS R=1.40 lambda,9.675,1.0442794766572159
GS R=1.40 lambda,9.750000000000002,1.066333176961408
GS R=1.40 lambda,9.825000000000001,1.0878946459547125
GS R=1.40 lambda,9.9,1.1089235270989726
GS R=1.40 lambda,9.975000000000001,1.1293812561616798
GS R=1.40 lambda,10.050000000000002,1.1492342493370573
GS R=1.40 lambda,10.125,1.168465992763771
GS R=1.40 lambda,10.200000000000001,1.1870726678649022
GS R=1.40 lambda,10.275,1.2050122392253542
GS R=1.40 lambda,10.350000000000001,1.222261481580119
GS R=1.40 lambda,10.425,1.2388116301183947
GS R=1.40 lambda,10.5,1.2546356335351745
GS R=1.40 lambda,10.575000000000001,1.2697205500251436
GS R=1.40 lambda,10.650000000000002,1.2840607885556201
GS R=1.40 lambda,10.725,1.297631662898173
GS R=1.40 lambda,10.8,1.310423714780974
GS R=1.40 lambda,10.875000000000002,1.3224242948646912
GS R=1.40 lambda,10.950000000000001,1.3336229917119369
GS R=1.40 lambda,11.025000000000002,1.344012843508685
GS R=1.40 lambda,11.1,1.3535854205483366
GS R=1.40 lambda,11.175,1.362327423517147
GS R=1.40 lambda,11.250000000000002,1.3702352840124123
GS R=1.40 lambda,11.325000000000001,1.3773125486545068
GS R=1.40 lambda,11.4,1.3835377430915556
GS R=1.40 lambda,11.475000000000001,1.3889426831715488
GS R=1.40 lambda,11.55,1.3935265475270044
GS R=1.40 lambda,11.625000000000002,1.3972633333492261
GS R=1.40 lambda,11.700000000000001,1.4001798944563333
GS R=1.40 lambda,11.775,1.4022888003878418
GS R=1.40 lambda,11.850000000000001,1.4035956111314414
GS R=1.40 lambda,11.925,1.4040997056919675
GS R=1.40 lambda,12.0,1.4037965941089179
GS R=0.45 lambda,0.0,9.826113232917419e-17
GS R=0.45 lambda,0.07500000000000001,0.03330958010158781
GS R=0.45 lambda,0.15000000000000002,0.06657538824952333
GS R=0.45 lambda,0.22500000000000003,0.09976401272161452
GS R=0.45 lambda,0.30000000000000004,0.1328376149909603
GS R=0.45 lambda,0.375,0.16575742460273385
GS R=0.45 lambda,0.45000000000000007,0.19848469594875998
GS R=0.45 lambda,0.525,0.230980414213638
GS R=0.45 lambda,0.6000000000000001,0.26320960304541063
GS R=0.45 lambda,0.675,0.29513632852020505
GS R=0.45 lambda,0.75,0.3267246341188731
GS R=0.45 lambda,0.8250000000000001,0.3579388707311575
GS R=0.45 lambda,0.9000000000000001,0.38874697745330644
GS R=0.45 lambda,0.9750000000000001,0.419115689510964
GS R=0.45 lambda,1.05,0.44900820099326727
GS R=0.45 lambda,1.1250000000000002,0.47838658951326407
GS R=0.45 lambda,1.2000000000000002,0.5072152006780469
GS R=0.45 lambda,1.2750000000000001,0.5354642729048508
GS R=0.45 lambda,1.35,0.563105285324184
GS R=0.45 lambda,1.425,0.5901086885605753
GS R=0.45 lambda,1.5,0.6164425228231534
GS R=0.45 lambda,1.5750000000000002,0.6420600267814885
GS R=0.45 lambda,1.6500000000000001,0.6669438735794025
GS R=0.45 lambda,1.725,0.6910732268860924
GS R=0.45 lambda,1.8000000000000003,0.7144235609314241
GS R=0.45 lambda,1.8750000000000002,0.7369730672451339
GS R=0.45 lambda,1.9500000000000002,0.7586993623118877
GS R=0.45 lambda,2.0250000000000004,0.7795816081389225
GS R=0.45 lambda,2.1,0.7996002135691731
GS R=0.45 lambda,2.1750000000000003,0.8187366570816197
GS R=0.45 lambda,2.2500000000000004,0.8369735072179009
GS R=0.45 lambda,2.325,0.8542947091521114
GS R=0.45 lambda,2.4000000000000004,0.8706858741861486
GS R=0.45 lambda,2.475,0.8861368170042618
GS R=0.45 lambda,2.5500000000000003,0.9006340964750773
GS R=0.45 lambda,2.625,0.9141683350601241
GS R=0.45 lambda,2.7,0.9267314039708171
GS R=0.45 lambda,2.775,0.9383110568933701
