requested,method,eta,metric,n_pairs,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Bottle,FE,0.003,iterations,1,56.0,56.0,56.0,56.0,56.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.003,gradient_l2,1,2.317816507922378e-08,2.317816507922378e-08,2.317816507922378e-08,2.317816507922378e-08,2.317816507922378e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.003,gradient_inf,1,8.223975261896258e-09,8.223975261896258e-09,8.223975261896258e-09,8.223975261896258e-09,8.223975261896258e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.003,command_cosine_fixed_FE,1,0.9981707184498573,0.9981707184498573,0.9981707184498573,0.9981707184498573,0.9981707184498573,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.003,xz_amplitude_cosine_fixed_FE,1,0.9991606944282562,0.9991606944282562,0.9991606944282562,0.9991606944282562,0.9991606944282562,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.01,iterations,1,67.0,67.0,67.0,67.0,67.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.01,gradient_l2,1,9.85640760917318e-09,9.85640760917318e-09,9.85640760917318e-09,9.85640760917318e-09,9.85640760917318e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.01,gradient_inf,1,3.6381390943719877e-09,3.6381390943719877e-09,3.6381390943719877e-09,3.6381390943719877e-09,3.6381390943719877e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.01,command_cosine_fixed_FE,1,1.0,1.0,1.0,1.0,1.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.01,xz_amplitude_cosine_fixed_FE,1,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.03,iterations,1,96.0,96.0,96.0,96.0,96.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.03,gradient_l2,1,1.5537489564706284e-08,1.5537489564706284e-08,1.5537489564706284e-08,1.5537489564706284e-08,1.5537489564706284e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.03,gradient_inf,1,4.813323044180906e-09,4.813323044180906e-09,4.813323044180906e-09,4.813323044180906e-09,4.813323044180906e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.03,command_cosine_fixed_FE,1,0.9904007854252662,0.9904007854252662,0.9904007854252662,0.9904007854252662,0.9904007854252662,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.03,xz_amplitude_cosine_fixed_FE,1,0.9953721491898195,0.9953721491898195,0.9953721491898195,0.9953721491898195,0.9953721491898195,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.1,iterations,1,104.0,104.0,104.0,104.0,104.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.1,gradient_l2,1,2.3363336179970116e-08,2.3363336179970116e-08,2.3363336179970116e-08,2.3363336179970116e-08,2.3363336179970116e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.1,gradient_inf,1,8.662160264677864e-09,8.662160264677864e-09,8.662160264677864e-09,8.662160264677864e-09,8.662160264677864e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.1,command_cosine_fixed_FE,1,0.9056474278408232,0.9056474278408232,0.9056474278408232,0.9056474278408232,0.9056474278408232,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,0.1,xz_amplitude_cosine_fixed_FE,1,0.9805083003471713,0.9805083003471713,0.9805083003471713,0.9805083003471713,0.9805083003471713,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,1.0,iterations,1,82.0,82.0,82.0,82.0,82.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,1.0,gradient_l2,1,3.110051379038327e-08,3.110051379038327e-08,3.110051379038327e-08,3.110051379038327e-08,3.110051379038327e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,1.0,gradient_inf,1,7.588550106646171e-09,7.588550106646171e-09,7.588550106646171e-09,7.588550106646171e-09,7.588550106646171e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,1.0,command_cosine_fixed_FE,1,5.024427532895168e-07,5.024427532895168e-07,5.024427532895168e-07,5.024427532895168e-07,5.024427532895168e-07,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,FE,1.0,xz_amplitude_cosine_fixed_FE,1,0.7820558883896626,0.7820558883896626,0.7820558883896626,0.7820558883896626,0.7820558883896626,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.0001,iterations,1,7032.0,7032.0,7032.0,7032.0,7032.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.0001,gradient_l2,1,3.0798169229249493e-08,3.0798169229249493e-08,3.0798169229249493e-08,3.0798169229249493e-08,3.0798169229249493e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.0001,gradient_inf,1,8.687118082908096e-09,8.687118082908096e-09,8.687118082908096e-09,8.687118082908096e-09,8.687118082908096e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.0001,command_cosine_fixed_FE,1,0.8208640567045009,0.8208640567045009,0.8208640567045009,0.8208640567045009,0.8208640567045009,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.0001,xz_amplitude_cosine_fixed_FE,1,0.9488469220676329,0.9488469220676329,0.9488469220676329,0.9488469220676329,0.9488469220676329,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.001,iterations,1,3996.0,3996.0,3996.0,3996.0,3996.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.001,gradient_l2,1,3.9320079863356436e-08,3.9320079863356436e-08,3.9320079863356436e-08,3.9320079863356436e-08,3.9320079863356436e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.001,gradient_inf,1,8.939091777753763e-09,8.939091777753763e-09,8.939091777753763e-09,8.939091777753763e-09,8.939091777753763e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.001,command_cosine_fixed_FE,1,0.8208732371332874,0.8208732371332874,0.8208732371332874,0.8208732371332874,0.8208732371332874,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.001,xz_amplitude_cosine_fixed_FE,1,0.949689633325394,0.949689633325394,0.949689633325394,0.949689633325394,0.949689633325394,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.003,iterations,1,7982.0,7982.0,7982.0,7982.0,7982.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.003,gradient_l2,1,4.301510514865071e-08,4.301510514865071e-08,4.301510514865071e-08,4.301510514865071e-08,4.301510514865071e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.003,gradient_inf,1,9.618461482296145e-09,9.618461482296145e-09,9.618461482296145e-09,9.618461482296145e-09,9.618461482296145e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.003,command_cosine_fixed_FE,1,0.8208862005863384,0.8208862005863384,0.8208862005863384,0.8208862005863384,0.8208862005863384,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.003,xz_amplitude_cosine_fixed_FE,1,0.9488511236802722,0.9488511236802722,0.9488511236802722,0.9488511236802722,0.9488511236802722,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.01,iterations,1,4470.0,4470.0,4470.0,4470.0,4470.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.01,gradient_l2,1,3.213275963702329e-08,3.213275963702329e-08,3.213275963702329e-08,3.213275963702329e-08,3.213275963702329e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.01,gradient_inf,1,8.814308550186487e-09,8.814308550186487e-09,8.814308550186487e-09,8.814308550186487e-09,8.814308550186487e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.01,command_cosine_fixed_FE,1,0.8209391972654765,0.8209391972654765,0.8209391972654765,0.8209391972654765,0.8209391972654765,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.01,xz_amplitude_cosine_fixed_FE,1,0.9488640125220674,0.9488640125220674,0.9488640125220674,0.9488640125220674,0.9488640125220674,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.03,iterations,1,3180.0,3180.0,3180.0,3180.0,3180.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.03,gradient_l2,1,3.579560743174515e-08,3.579560743174515e-08,3.579560743174515e-08,3.579560743174515e-08,3.579560743174515e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.03,gradient_inf,1,8.764998241054677e-09,8.764998241054677e-09,8.764998241054677e-09,8.764998241054677e-09,8.764998241054677e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.03,command_cosine_fixed_FE,1,0.8211164530684413,0.8211164530684413,0.8211164530684413,0.8211164530684413,0.8211164530684413,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.03,xz_amplitude_cosine_fixed_FE,1,0.948910838977633,0.948910838977633,0.948910838977633,0.948910838977633,0.948910838977633,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.1,iterations,1,1416.0,1416.0,1416.0,1416.0,1416.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.1,gradient_l2,1,1.9356780451458723e-08,1.9356780451458723e-08,1.9356780451458723e-08,1.9356780451458723e-08,1.9356780451458723e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.1,gradient_inf,1,6.357261279363671e-09,6.357261279363671e-09,6.357261279363671e-09,6.357261279363671e-09,6.357261279363671e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.1,command_cosine_fixed_FE,1,0.7976964931454948,0.7976964931454948,0.7976964931454948,0.7976964931454948,0.7976964931454948,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,0.1,xz_amplitude_cosine_fixed_FE,1,0.928435802740699,0.928435802740699,0.928435802740699,0.928435802740699,0.928435802740699,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,1.0,iterations,1,393.0,393.0,393.0,393.0,393.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,1.0,gradient_l2,1,2.5596687237646565e-08,2.5596687237646565e-08,2.5596687237646565e-08,2.5596687237646565e-08,2.5596687237646565e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,1.0,gradient_inf,1,8.389642400584161e-09,8.389642400584161e-09,8.389642400584161e-09,8.389642400584161e-09,8.389642400584161e-09,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,1.0,command_cosine_fixed_FE,1,8.469077705708424e-08,8.469077705708424e-08,8.469077705708424e-08,8.469077705708424e-08,8.469077705708424e-08,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,RH,1.0,xz_amplitude_cosine_fixed_FE,1,0.782055946202331,0.782055946202331,0.782055946202331,0.782055946202331,0.782055946202331,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
