case_id,method,levels,phase_step_deg,objective,actual_equilibrium_shift_mm,actual_root_converged,actual_root_stable,actual_stiffness_min_n_m,stiffness_retention_pct,candidate_evaluations,command_key,mechanics_setup_ms,reference_force_norm_n,transition_time_median_ms,transition_time_q25_ms,transition_time_q75_ms,timing_repeats,predicted_shift_mm,predicted_local_stable,predicted_local_stiffness_min,stable_offset_candidates
X-10_Y+0_Z45,fixed_nearest,32,11.25,-341.1214127478923,0.0241137637503532,True,True,1.9293488419789435e-05,99.67874519184028,1,,20.534256,2.2202108590028683e-17,0.406059,0.36837949999999997,0.49627449999999995,3,,,,
X-10_Y+0_Z45,best_offset,32,11.25,-341.25213811901193,0.06327338857598874,True,True,1.9343323415314845e-05,99.93621495119797,256,,20.534256,2.2202108590028683e-17,25.502439,24.9078055,30.701212999999996,3,,,,
X-10_Y+0_Z45,mechanics_offset,32,11.25,-341.22664567492285,0.005212637663876836,True,True,1.9288105659306725e-05,99.65093545630099,256,Xm10_Yp0_Z45__Q0032,20.534256,2.2202108590028683e-17,29.257341,24.212425500000002,39.94934,3,0.005156652927627357,True,1.939489385242599e-05,256.0
X-10_Y+0_Z45,fixed_nearest,128,2.8125,-342.23079558042207,0.01194539549282482,True,True,1.9355386280407123e-05,99.99853707924731,1,,20.534256,2.2202108590028683e-17,0.8342419999999999,0.7626195,1.6466925,3,,,,
X-10_Y+0_Z45,best_offset,128,2.8125,-342.23978032359724,0.0022482558663830337,True,True,1.9356464267493298e-05,100.00410644015007,256,,20.534256,2.2202108590028683e-17,25.47277,24.910653500000002,32.501601,3,,,,
X-10_Y+0_Z45,mechanics_offset,128,2.8125,-342.23925982444706,0.0007982819073248365,True,True,1.9355801518889508e-05,100.00068238599428,256,Xm10_Yp0_Z45__Q0128,20.534256,2.2202108590028683e-17,19.984149,18.7509595,24.593930999999998,3,0.000781723263243028,True,1.9463984552482395e-05,256.0
X-10_Y+0_Z45,fixed_nearest,2048,0.17578125,-342.3026833345294,0.0003926525257669132,True,True,1.9355643135990068e-05,99.99986410946842,1,,20.534256,2.2202108590028683e-17,2.768059,1.8457474999999999,2.9486689999999998,3,,,,
X-10_Y+0_Z45,best_offset,2048,0.17578125,-342.30269897127926,0.0007431471918516331,True,True,1.9356297108701732e-05,100.00324282346094,256,,20.534256,2.2202108590028683e-17,58.222122,52.9958135,58.898638,3,,,,
X-10_Y+0_Z45,mechanics_offset,2048,0.17578125,-342.3026934959905,0.00011103259083602613,True,True,1.935683516817024e-05,100.00602267806745,256,Xm10_Yp0_Z45__Q2048,20.534256,2.2202108590028683e-17,19.586851,19.087746,24.7627945,3,0.00010944476466140129,True,1.9464950305716675e-05,256.0
X+0_Y+10_Z45,fixed_nearest,4,90.0,-170.10285502762952,0.1563220056227169,True,True,1.6415077264863217e-05,84.82844193361142,1,,6.482805,2.0881767148337366e-17,0.658334,0.6320185,1.61807,3,,,,
