case_id,levels,command_key,source_model,validator_model,source_strength_pa_m_peak,validation_workers,root_found,locally_restoring,absolute_target_error_um,root_residual_scaled,root_residual_n,on_search_boundary,stiffness_min_n_m,validation_wall_s,target_x_m,root_x_m,displacement_x_um,stiffness_eigenvalue_1_n_m,target_y_m,root_y_m,displacement_y_um,stiffness_eigenvalue_2_n_m,target_z_m,root_z_m,displacement_z_um,stiffness_eigenvalue_3_n_m,additional_equilibrium_shift_um,stiffness_retention_pct,additional_equilibrium_shift_m,absolute_target_error_m
X+10_Y+0_Z50,128,Xp10_Yp0_Z50__Q0128,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,383.07502309317067,1.941845542960303e-12,2.1637699033039883e-18,False,0.0012403105741590483,11.093057300007786,0.01,0.009979949795127353,-20.05020487264725,0.0012403105741590483,0.0,-4.874672247630013e-07,-0.48746722476300136,0.01847795383309178,0.05,0.04961745036272648,-382.5496372735215,0.01887829423567513,1.1409728644721107,99.99755674131418,1.1409728644721105e-06,0.00038307502309317063
X+10_Y+0_Z50,2048,Xp10_Yp0_Z50__Q2048,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,382.5369342892041,5.678533747270133e-12,6.3275065629101445e-18,False,0.0012403234540219069,11.31433960000868,0.01,0.009980312226774408,-19.687773225592064,0.0012403234540219069,0.0,5.430587886875032e-07,0.5430587886875032,0.018485484834588957,0.05,0.049617970416370734,-382.0295836292689,0.01887761749722815,0.10427112327049189,99.99859515446961,1.0427112327049188e-07,0.0003825369342892041
X-10_Y+0_Z50,0,continuous_FE,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,387.75092916604456,7.065700347467286e-12,7.87320588552433e-18,False,0.0012404171388529285,10.6373295999947,-0.01,-0.009980095744337792,19.904255662207827,0.0012404171388529285,0.0,4.613692824378345e-07,0.4613692824378345,0.018487823838436755,0.05,0.04961276055106169,-387.23944893831464,0.018878309069862133,0.0,100.0,0.0,0.0003877509291660445
X-10_Y+0_Z50,4,Xm10_Yp0_Z50__Q0004,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,548.1608012873863,9.964030262004939e-12,1.1102772244011164e-17,False,0.001029240898234001,11.188960500003304,-0.01,-0.009968385189000189,31.6148109998117,0.001029240898234001,0.0,7.846818013031184e-06,7.846818013031183,0.015171775477024087,0.05,0.049452807899142776,-547.1921008572273,0.015527545111786124,160.55071726766005,82.97538513421283,0.00016055071726766003,0.0005481608012873863
X-10_Y+0_Z50,8,Xm10_Yp0_Z50__Q0008,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,434.8303662970261,1.0769661582947286e-11,1.200047536552546e-17,False,0.0011657160464892348,10.945773700004793,-0.01,-0.00998747227668712,12.527723312880102,0.0011657160464892348,0.0,-3.435949541196656e-06,-3.4359495411966563,0.017204152162852735,0.05,0.04956536371774396,-434.6362822560401,0.018137023217152215,48.125483187828735,93.9777442584538,4.8125483187828735e-05,0.00043483036629702606
X-10_Y+0_Z50,10,Xm10_Yp0_Z50__Q0010,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,410.5950172943698,7.905012284336002e-12,8.808438821565028e-18,False,0.0012067130949540668,11.200140999993891,-0.01,-0.009986490787127574,13.509212872426374,0.0012067130949540668,0.0,7.461575237136291e-06,7.461575237136291,0.01770593165795767,0.05,0.049589695120319646,-410.3048796803566,0.01844936931039055,24.938194622050418,97.28284600049712,2.4938194622050417e-05,0.0004105950172943698
X-10_Y+0_Z50,16,Xm10_Yp0_Z50__Q0016,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,397.8651995448967,1.0812932736429447e-11,1.2048691774871392e-17,False,0.0012275168919513796,10.69955829999526,-0.01,-0.00997370423685292,26.29576314707935,0.0012275168919513796,0.0,-2.8411267771521426e-06,-2.8411267771521427,0.018288182153985918,0.05,0.04960301488963936,-396.9851103606398,0.018653714765829568,12.11345387209496,98.96000736385517,1.211345387209496e-05,0.0003978651995448967
X-10_Y+0_Z50,32,Xm10_Yp0_Z50__Q0032,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,387.6319479165369,1.466334228278115e-11,1.6339146451863433e-17,False,0.0012387201280651184,10.707825300007244,-0.01,-0.009984822450669157,15.177549330842865,0.0012387201280651184,0.0,1.973366236353304e-06,1.9733662363533042,0.0184326964454142,0.05,0.04961267032792778,-387.32967207222305,0.018818941725822387,4.96346932553305,99.86319031439865,4.96346932553305e-06,0.00038763194791653687
X-10_Y+0_Z50,128,Xm10_Yp0_Z50__Q0128,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,387.8154490698607,1.3236310054679375e-11,1.4749025446922837e-17,False,0.0012406064731712212,10.506145899998955,-0.01,-0.00998052662964137,19.473370358629936,0.0012406064731712212,0.0,2.855289820877928e-08,0.02855289820877928,0.018487364289163886,0.05,0.04961267376855051,-387.32623144949184,0.018871605048988604,0.6168657646058407,100.01526376187189,6.168657646058407e-07,0.0003878154490698607
X-10_Y+0_Z50,2048,Xm10_Yp0_Z50__Q2048,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,387.7366486969395,7.824753792864353e-12,8.71900796597484e-18,False,0.0012404010929914987,10.550900000002002,-0.01,-0.00998010551563473,19.894484365269584,0.0012404010929914987,0.0,4.5818575462229e-07,0.45818575462229,0.018488589955562382,0.05,0.049612774344470326,-387.2256555296771,0.01887752501648412,0.017200907390270047,99.99870641408225,1.7200907390270046e-08,0.00038773664869693944
