task,method,levels,target_index,seed,reference_method,reference_phase_content_id,root_found,locally_restoring,additional_equilibrium_shift_m,absolute_target_error_m,additional_equilibrium_shift_um,absolute_target_error_um,root_residual_scaled,stiffness_min_n_m,phase_content_id,evidence_status
Triple,Elastic mechanics offset,8,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,8.725337399938258e-05,0.0001828048895860529,87.25337399938259,182.80488958605292,6.5347349032361094e-12,0.0012289022349672885,000000000000080f6f7a2cfc3c8ebeca,SMOKE
Triple,Nearest,10,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.0001669715735216055,0.00014445139208700165,166.9715735216055,144.45139208700164,1.5793514296247948e-12,0.0016153172591179313,000000000000080fdbbdf570858d8eeb,SMOKE
Triple,Nearest,10,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,9.601863007687686e-05,0.0003154001850399302,96.01863007687686,315.4001850399302,6.3632680522168585e-12,0.0013051675002826377,000000000000080fdbbdf570858d8eeb,SMOKE
Triple,Nearest,10,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.0003299523098866084,0.00014337405830200343,329.9523098866084,143.37405830200342,4.675070060458274e-12,0.0012448134335681935,000000000000080fdbbdf570858d8eeb,SMOKE
Triple,Elastic mechanics offset,10,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,8.402366838456016e-05,0.0002428383714215613,84.02366838456015,242.8383714215613,9.981786975933375e-12,0.0015129029602086175,000000000000080f720f2d7306547bae,SMOKE
Triple,Elastic mechanics offset,10,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,5.36560023731208e-05,0.0002759916032280456,53.6560023731208,275.9916032280456,4.5186382593286594e-12,0.0012906606403518147,000000000000080f720f2d7306547bae,SMOKE
Triple,Elastic mechanics offset,10,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,7.956695314967924e-05,0.0002601763690652149,79.56695314967924,260.1763690652149,6.816440945314744e-12,0.0013619616526470066,000000000000080f720f2d7306547bae,SMOKE
Triple,Nearest,16,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.00011729259809729856,0.0004130751887793073,117.29259809729857,413.07518877930727,1.0157042203650299e-11,0.0016583374360581377,000000000000080fc898f7efa0ce635f,SMOKE
Triple,Nearest,16,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,4.3518372895230054e-05,0.00020816379962115304,43.51837289523005,208.16379962115303,3.475939398557647e-12,0.0013728891923521236,000000000000080fc898f7efa0ce635f,SMOKE
Triple,Nearest,16,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.6170650676260836e-05,0.00018938013889534087,16.170650676260838,189.38013889534088,7.087983038246224e-12,0.0012837364612241589,000000000000080fc898f7efa0ce635f,SMOKE
Triple,Elastic mechanics offset,16,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,4.2617761195910125e-05,0.0003233682459522387,42.61776119591013,323.3682459522387,8.092889010674065e-12,0.0016616526760366741,000000000000080fc79598e789246671,SMOKE
Triple,Elastic mechanics offset,16,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,4.296886833847444e-05,0.00024504372818721676,42.968868338474444,245.04372818721677,6.728819047816469e-12,0.0013213812796945145,000000000000080fc79598e789246671,SMOKE
Triple,Elastic mechanics offset,16,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.414083427010527e-05,0.0001839222407654891,14.14083427010527,183.9222407654891,3.666308472337907e-12,0.0012581780487967676,000000000000080fc79598e789246671,SMOKE
Triple,Nearest,32,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,0.00013345777668974908,0.0001663806319867899,133.45777668974907,166.3806319867899,3.834083905834638e-12,0.0016048257245837813,000000000000080f24ea2cbdc7e7d294,SMOKE
Triple,Nearest,32,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,7.096098359246694e-05,0.00016510932866694718,70.96098359246695,165.1093286669472,8.756561748161124e-12,0.0013060358276485383,000000000000080f24ea2cbdc7e7d294,SMOKE
Triple,Nearest,32,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.6598346674276145e-05,0.00020415722490998794,16.598346674276144,204.15722490998795,4.10816091828085e-12,0.0013378974939019033,000000000000080f24ea2cbdc7e7d294,SMOKE
Triple,Elastic mechanics offset,32,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.5594136378435742e-05,0.00031294627202782635,15.594136378435742,312.94627202782635,4.996601357089531e-12,0.0016654138711743648,000000000000080f47c78e583e66c2a9,SMOKE
Triple,Elastic mechanics offset,32,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,2.0390079107786e-05,0.0002223509897671451,20.390079107785997,222.3509897671451,2.4873599110421515e-12,0.0013303698132474716,000000000000080f47c78e583e66c2a9,SMOKE
Triple,Elastic mechanics offset,32,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,2.0614692467658775e-05,0.00020821813578821068,20.614692467658774,208.21813578821067,2.021548493267634e-12,0.0013052694838785025,000000000000080f47c78e583e66c2a9,SMOKE
Triple,Nearest,128,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.2944475663809693e-05,0.00030895835060662475,12.944475663809692,308.9583506066248,1.5631070640255992e-12,0.001672096231877114,000000000000080f95a091671afdfeae,SMOKE
Triple,Nearest,128,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.5973246601110464e-05,0.00023863769417469577,15.973246601110464,238.63769417469575,5.187818901890099e-12,0.0013477717340561225,000000000000080f95a091671afdfeae,SMOKE
Triple,Nearest,128,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,3.2430746016506856e-06,0.00019424758685796122,3.2430746016506857,194.2475868579612,5.537912398896082e-12,0.0013144794046987174,000000000000080f95a091671afdfeae,SMOKE
Triple,Elastic mechanics offset,128,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,4.542253706167523e-06,0.00029923126798400376,4.542253706167523,299.23126798400375,8.479485484869575e-12,0.001662053265730271,000000000000080fdc9d51e672cdf456,SMOKE
Triple,Elastic mechanics offset,128,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,5.491854255480589e-06,0.00022575360565736555,5.49185425548059,225.75360565736554,5.42087180587974e-12,0.0013242570598735182,000000000000080fdc9d51e672cdf456,SMOKE
Triple,Elastic mechanics offset,128,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.7593821342942955e-06,0.0001915574454771606,1.7593821342942955,191.5574454771606,1.1132705504216074e-11,0.0013021880563835917,000000000000080fdc9d51e672cdf456,SMOKE
Triple,Nearest,256,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,5.439761544017733e-06,0.00029253638664608367,5.439761544017733,292.53638664608366,1.0667169866253131e-11,0.0016633872890323765,000000000000080fa609b39ce857ff51,SMOKE
Triple,Nearest,256,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,2.684200248840076e-06,0.00022746126808607196,2.684200248840076,227.46126808607195,1.1681312516722759e-11,0.0013184845714367469,000000000000080fa609b39ce857ff51,SMOKE
Triple,Nearest,256,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,4.59844225155723e-06,0.00019424863588896467,4.59844225155723,194.24863588896466,1.2494937206449975e-11,0.00131173293816244,000000000000080fa609b39ce857ff51,SMOKE
Triple,Elastic mechanics offset,256,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.886386360531385e-06,0.0002985495937522912,1.886386360531385,298.54959375229123,8.793291685485513e-12,0.0016599738745780542,000000000000080fc3b2d6541931ff4d,SMOKE
Triple,Elastic mechanics offset,256,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.5263001189171776e-06,0.00022996241477003066,1.5263001189171777,229.96241477003068,9.751266735599556e-12,0.0013296185742193314,000000000000080fc3b2d6541931ff4d,SMOKE
Triple,Elastic mechanics offset,256,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,3.43577148960594e-06,0.00019424383408264435,3.4357714896059397,194.24383408264436,1.4231725347620253e-11,0.0013141165598076162,000000000000080fc3b2d6541931ff4d,SMOKE
Triple,Nearest,640,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,2.1869421969270076e-06,0.00029975174899920913,2.1869421969270078,299.75174899920916,1.1420872873028607e-11,0.0016624109309136387,000000000000080f6f0cce73ffd20cd1,SMOKE
Triple,Nearest,640,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,5.036555091092846e-07,0.00022994962263368822,0.5036555091092846,229.94962263368822,5.179128109276664e-12,0.0013323041426844583,000000000000080f6f0cce73ffd20cd1,SMOKE
Triple,Nearest,640,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.1632930240832164e-06,0.00019023827537003026,1.1632930240832164,190.23827537003027,4.624446354289177e-12,0.0013117784476151797,000000000000080f6f0cce73ffd20cd1,SMOKE
Triple,Elastic mechanics offset,640,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,8.082482827513322e-07,0.0002980715156454716,0.8082482827513322,298.0715156454716,8.808192439235356e-12,0.0016560393654454243,000000000000080fb464fa4609610ef9,SMOKE
Triple,Elastic mechanics offset,640,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,6.597438005052753e-07,0.0002294609476567937,0.6597438005052754,229.4609476567937,5.864788773452774e-12,0.0013323519969111542,000000000000080fb464fa4609610ef9,SMOKE
Triple,Elastic mechanics offset,640,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,1.0608403737810187e-06,0.0001901384662137944,1.0608403737810186,190.1384662137944,7.810732674347024e-12,0.0013126666163872345,000000000000080fb464fa4609610ef9,SMOKE
Triple,Nearest,2048,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,7.717446956210165e-07,0.0002982536186036048,0.7717446956210164,298.2536186036048,8.658251137645512e-12,0.001655904416108554,000000000000080fddf167554ddb1c03,SMOKE
Triple,Nearest,2048,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,5.927753700754787e-07,0.00022997699450533985,0.5927753700754786,229.97699450533986,3.158622097551319e-12,0.0013324508824447412,000000000000080fddf167554ddb1c03,SMOKE
Triple,Nearest,2048,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,9.10685620607921e-07,0.00019199091075160966,0.910685620607921,191.99091075160968,9.676019166252086e-12,0.0013128050489179352,000000000000080fddf167554ddb1c03,SMOKE
Triple,Elastic mechanics offset,2048,0,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,3.123932388381449e-07,0.0002976983579977478,0.3123932388381449,297.6983579977478,7.624432046604107e-12,0.0016602263077185643,000000000000080fee4804f12fb419c4,SMOKE
Triple,Elastic mechanics offset,2048,1,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,3.222517462237493e-07,0.00022974464165588518,0.3222517462237493,229.74464165588518,6.535663828936096e-12,0.0013324658270911104,000000000000080fee4804f12fb419c4,SMOKE
Triple,Elastic mechanics offset,2048,2,260869,GFE,000000000000080f41d566cd4e7b05fe,True,True,2.363930409483242e-07,0.0001912802490925015,0.2363930409483242,191.2802490925015,1.2685510359085778e-11,0.0013129012958121831,000000000000080fee4804f12fb419c4,SMOKE
