case_id,method,levels,phase_step_deg,objective,actual_equilibrium_shift_mm,actual_root_converged,actual_root_stable,actual_stiffness_min_n_m,stiffness_retention_pct,candidate_evaluations,command_key,mechanics_setup_ms,reference_force_norm_n,transition_time_median_ms,transition_time_q25_ms,transition_time_q75_ms,timing_repeats,predicted_shift_mm,predicted_local_stable,predicted_local_stiffness_min,stable_offset_candidates
X+10_Y+0_Z45,best_offset,2048,0.17578125,-267.14210730946644,0.0002042939890627,True,True,1.9353773904613692e-05,100.00013423993704,256,,2.5822,2.1641685535336566e-17,28.8966,28.85355,28.91555,3,,,,
X+10_Y+0_Z45,mechanics_offset,2048,0.17578125,-267.14208606507395,6.0268619398565146e-05,True,True,1.935413472621193e-05,100.00199858993088,256,Xp10_Yp0_Z45__Q2048,2.5822,2.1641685535336566e-17,12.0462,11.968049999999998,12.41045,3,5.914061222924692e-05,True,1.946224392530757e-05,256.0
X-10_Y+0_Z45,fixed_nearest,4,90.0,-273.8499617070098,0.2823223221292245,True,True,1.597086881992056e-05,82.51261393650273,1,,2.6285,2.2193240170521808e-17,0.5542,0.4678,0.6811,3,,,,
X-10_Y+0_Z45,best_offset,4,90.0,-289.08292367929266,0.0398617469425266,True,True,1.6067036323831516e-05,83.00945804767247,256,,2.6285,2.2193240170521808e-17,27.743,27.6607,28.02995,3,,,,
X-10_Y+0_Z45,mechanics_offset,4,90.0,-274.14051489407944,0.0218459250848222,True,True,1.5655525387021352e-05,80.88340946243123,256,Xm10_Yp0_Z45__Q0004,2.6285,2.2193240170521808e-17,12.3179,12.30995,12.51185,3,0.0169850613427522,True,1.575586882594182e-05,256.0
X-10_Y+0_Z45,fixed_nearest,8,45.0,-328.75292473934365,0.0599333292842467,True,True,1.8176550860272497e-05,93.90814868882826,1,,2.6285,2.2193240170521808e-17,0.5490999999999999,0.4463999999999999,0.63135,3,,,,
X-10_Y+0_Z45,best_offset,8,45.0,-328.75292473934365,0.0599333292842467,True,True,1.8176550860272497e-05,93.90814868882826,256,,2.6285,2.2193240170521808e-17,27.6558,27.26325,27.89975,3,,,,
X-10_Y+0_Z45,mechanics_offset,8,45.0,-324.6645881351284,0.0125559370025437,True,True,1.870042707710325e-05,96.61472630318792,256,Xm10_Yp0_Z45__Q0008,2.6285,2.2193240170521808e-17,13.8914,13.2551,14.04985,3,0.0116736281505074,True,1.8811097836264023e-05,256.0
X-10_Y+0_Z45,fixed_nearest,10,36.0,-330.94252500832897,0.0551653433850107,True,True,1.871643112537738e-05,96.69741033694676,1,,2.6285,2.2193240170521808e-17,0.5708,0.4715499999999999,0.6560999999999999,3,,,,
X-10_Y+0_Z45,best_offset,10,36.0,-331.78241363133515,0.0816572499857534,True,True,1.872702929360333e-05,96.75216518924204,256,,2.6285,2.2193240170521808e-17,27.6437,27.39655,28.06485,3,,,,
