field_class,plane,x_m,y_m,z_m,total_force_x_n,total_force_y_n,total_force_z_n,radiation_force_x_n,radiation_force_y_n,radiation_force_z_n
Twin,XZ,0.0,0.0,0.049,6.336149143976484e-07,1.4003188918303772e-09,1.8359452533721113e-06,6.336149143976484e-07,1.4003188918303772e-09,2.950230532728247e-06
Twin,XZ,0.001,0.0,0.049,-3.7127538328515424e-05,3.386610250435337e-08,3.6905688173358042e-06,-3.7127538328515424e-05,3.386610250435337e-08,4.80485409669194e-06
Twin,XZ,0.002000000000000001,0.0,0.049,-4.761383551538383e-05,1.3331630643915535e-07,7.57571081877429e-06,-4.761383551538383e-05,1.3331630643915535e-07,8.689996098130426e-06
Twin,XZ,0.003,0.0,0.049,-2.5430945816761417e-05,2.4797433184966696e-07,1.0931633018677862e-05,-2.5430945816761417e-05,2.4797433184966696e-07,1.2045918298033998e-05
Twin,XZ,0.003999999999999999,0.0,0.049,9.223832974383301e-06,3.464934012755238e-07,1.1750863564502982e-05,9.223832974383301e-06,3.464934012755238e-07,1.2865148843859118e-05
Twin,XZ,0.005,0.0,0.049,2.9799091004656607e-05,4.543317344035131e-07,1.0016425612424463e-05,2.9799091004656607e-05,4.543317344035131e-07,1.1130710891780599e-05
Twin,XZ,0.006000000000000001,0.0,0.049,2.4495836890744366e-05,5.485118943834457e-07,6.885891385951328e-06,2.4495836890744366e-05,5.485118943834457e-07,8.000176665307464e-06
Twin,XZ,0.007,0.0,0.049,3.656541291987243e-06,5.806707482473583e-07,3.869948822677333e-06,3.656541291987243e-06,5.806707482473583e-07,4.984234102033469e-06
Twin,XZ,-0.007,0.0,0.05,-4.9467510356356476e-06,2.7792774172399227e-07,2.5676552244979963e-06,-4.9467510356356476e-06,2.7792774172399227e-07,3.6819405038541323e-06
Twin,XZ,-0.006,0.0,0.05,-2.5158189413590686e-05,5.672916297957063e-07,5.757150407819369e-06,-2.5158189413590686e-05,5.672916297957063e-07,6.871435687175505e-06
Twin,XZ,-0.005,0.0,0.05,-2.9513023296334287e-05,7.455369129380993e-07,9.187053767298082e-06,-2.9513023296334287e-05,7.455369129380993e-07,1.0301339046654218e-05
Twin,XZ,-0.004,0.0,0.05,-8.619642522506988e-06,7.309461554652163e-07,1.11386959732677e-05,-8.619642522506988e-06,7.309461554652163e-07,1.2252981252623837e-05
Twin,XZ,-0.003,0.0,0.05,2.592780397956243e-05,5.075010218261301e-07,1.0025539544568015e-05,2.592780397956243e-05,5.075010218261301e-07,1.113982482392415e-05
