run_id,seed,ablation,gamma_uniformity,std_scale_multiplier,stage_index,stage_factor,maxiter,iterations,nfev,njev,runtime_sec,objective,gradient_norm,success,status,message,force_epsilon,uniformity_epsilon,gradient_inf_norm
STD_No_uniformity_gamma1_eps1_seed260870,260870,No uniformity,1.0,1.0,0,0.05,250,250,296,296,1.6506634000106715,-0.025624536460935154,0.010109169968144939,False,1,Maximum number of iterations has been exceeded.,5.1198535625620806e-08,0.0,0.0031573961294308673
STD_No_uniformity_gamma1_eps1_seed260870,260870,No uniformity,1.0,1.0,1,0.01,29750,2997,3088,3079,19.18428019998828,-0.049693311341365655,4.627137051577686e-08,False,2,Desired error not necessarily achieved due to precision loss.,1.023970712512416e-08,0.0,1.2874615376839288e-08
STD_GFE_gamma1_eps1_seed260871,260871,GFE,1.0,1.0,0,0.05,250,250,306,306,1.884585199994035,-0.03517958382726689,0.011539097675938945,False,1,Maximum number of iterations has been exceeded.,6.108055262935204e-08,0.0018362793624443652,0.005643837836448303
STD_GFE_gamma1_eps1_seed260871,260871,GFE,1.0,1.0,1,0.01,29750,1813,1864,1864,12.098141300011775,-0.04964863024891083,3.5614781226631975e-08,True,0,Optimization terminated successfully.,1.2216110525870408e-08,0.00036725587248887307,9.691951344881547e-09
STD_FE_gamma1_eps1_seed260871,260871,FE,1.0,1.0,0,0.05,250,250,296,296,1.689792999997735,-0.026059734836822605,0.011639160587090525,False,1,Maximum number of iterations has been exceeded.,1.8255424908216542e-08,0.0018796079452960439,0.004830971830384791
STD_FE_gamma1_eps1_seed260871,260871,FE,1.0,1.0,1,0.01,29750,2132,2186,2186,13.779172900001868,-0.05047969206715773,3.3393382323347174e-08,True,0,Optimization terminated successfully.,3.6510849816433085e-09,0.0003759215890592087,9.65797580038664e-09
STD_GFE_gamma0.3_eps1_seed260871,260871,GFE,0.3,1.0,0,0.05,250,250,288,288,1.6635859999951208,-0.0388981302746738,0.018343813313412925,False,1,Maximum number of iterations has been exceeded.,6.108055262935204e-08,0.0018362793624443652,0.004966388416466144
STD_GFE_gamma0.3_eps1_seed260871,260871,GFE,0.3,1.0,1,0.01,29750,1680,1735,1735,10.627696800002013,-0.049649067051573084,3.3636403785332894e-08,True,0,Optimization terminated successfully.,1.2216110525870408e-08,0.00036725587248887307,9.761871590189754e-09
STD_GFE_gamma1_eps0.1_seed260871,260871,GFE,1.0,0.1,0,0.05,250,250,305,305,2.2232714999991003,-0.03182500038935615,0.01673437341733493,False,1,Maximum number of iterations has been exceeded.,6.108055262935204e-08,0.00018362793624443653,0.006686484886410173
STD_GFE_gamma1_eps0.1_seed260871,260871,GFE,1.0,0.1,1,0.01,29750,2035,2122,2122,16.449981700003264,-0.04964846025468048,2.1118116846428607e-08,True,0,Optimization terminated successfully.,1.2216110525870408e-08,3.672558724888731e-05,8.523542772296752e-09
STD_GFE_gamma1_eps0_seed260871,260871,GFE,1.0,0.0,0,0.05,250,250,342,342,1.8306564999948023,-0.028934999696672913,0.02656073391815821,False,1,Maximum number of iterations has been exceeded.,6.108055262935204e-08,0.0,0.010069792781618285
STD_GFE_gamma1_eps0_seed260871,260871,GFE,1.0,0.0,1,0.01,29750,23382,25768,25756,144.58810009999434,-0.04964598545456007,0.005070377999494176,False,2,Desired error not necessarily achieved due to precision loss.,1.2216110525870408e-08,0.0,0.0017891708969269473
STD_GFE_gamma1_eps10_seed260871,260871,GFE,1.0,10.0,0,0.05,250,250,296,296,1.969101700000465,-0.04163041604268715,0.011453108763176964,False,1,Maximum number of iterations has been exceeded.,6.108055262935204e-08,0.018362793624443652,0.0032986381738720053
STD_GFE_gamma1_eps10_seed260871,260871,GFE,1.0,10.0,1,0.01,29750,1685,1754,1754,13.696190399990883,-0.04965026673811054,3.725464773777373e-08,True,0,Optimization terminated successfully.,1.2216110525870408e-08,0.003672558724888731,9.612951593604133e-09
STD_GFE_gamma3_eps1_seed260871,260871,GFE,3.0,1.0,0,0.05,250,250,294,294,1.784916599994176,-0.030854977452525145,0.01037067232449202,False,1,Maximum number of iterations has been exceeded.,6.108055262935204e-08,0.0018362793624443652,0.003012247438284809
STD_GFE_gamma3_eps1_seed260871,260871,GFE,3.0,1.0,1,0.01,29750,1672,1733,1733,12.721829800007981,-0.049648504427504896,2.740606157888747e-08,True,0,Optimization terminated successfully.,1.2216110525870408e-08,0.00036725587248887307,9.846993278159687e-09
STD_No_force_smoothing_gamma1_eps1_seed260871,260871,No force smoothing,1.0,1.0,0,0.05,250,250,307,307,2.025061000007554,-0.035768931962568244,0.014033593331399417,False,1,Maximum number of iterations has been exceeded.,0.0,0.0018362793624443652,0.0053991778567508055
STD_No_force_smoothing_gamma1_eps1_seed260871,260871,No force smoothing,1.0,1.0,1,0.01,29750,12296,12929,12918,82.57036009999865,-0.049638593735061486,0.005399286877941098,False,2,Desired error not necessarily achieved due to precision loss.,0.0,0.00036725587248887307,0.0008913759159208204
STD_No_pressure_gamma1_eps1_seed260871,260871,No pressure,1.0,1.0,0,0.05,250,250,276,276,1.6392560999956913,-0.044735376401457666,0.004667713942562355,False,1,Maximum number of iterations has been exceeded.,6.108055262935204e-08,0.00014858364599154458,0.0011967106942578308
STD_No_pressure_gamma1_eps1_seed260871,260871,No pressure,1.0,1.0,1,0.01,29750,1331,1384,1384,9.032385600003181,-0.05095026978218575,2.8173101461809737e-08,True,0,Optimization terminated successfully.,1.2216110525870408e-08,2.9716729198308914e-05,6.4559384190414945e-09
STD_No_uniformity_gamma1_eps1_seed260871,260871,No uniformity,1.0,1.0,0,0.05,250,250,297,297,1.7305756999994628,-0.03617805790716833,0.017199714846055536,False,1,Maximum number of iterations has been exceeded.,6.108055262935204e-08,0.0,0.004972299749634539
STD_No_uniformity_gamma1_eps1_seed260871,260871,No uniformity,1.0,1.0,1,0.01,29750,1574,1622,1622,10.785089999990305,-0.04969458028729268,2.688893047644524e-08,True,0,Optimization terminated successfully.,1.2216110525870408e-08,0.0,9.77549622803095e-09
